settlementDate,settlementPeriod,side,stack_rank,id,resolved_bmu_id,disbsad_service,disbsad_partyId,disbsad_assetId,disbsad_cost,disbsad_volume,disbsad_implied_price,finalPrice,volume
2026-01-04,31,offer,1,1,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,4616.5,50.0,92.33,92.33,50.0
2026-01-04,31,offer,2,2,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,1870.4,20.0,93.52000000000001,93.52,20.0
2026-01-04,31,offer,3,3,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,9828.0,105.0,93.6,93.6,105.0
2026-01-04,31,offer,4,6,I_IBG-NEAS1,Energy,Centrica Energy Trading A/S,IBG-NEAS1,4682.0,50.0,93.64,93.64,50.0
2026-01-04,31,offer,5,4,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,4703.5,50.0,94.07,94.07,50.0
2026-01-04,31,offer,6,5,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,2375.5,25.0,95.02,95.02,25.0
2026-01-04,32,offer,1,6,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,4616.5,50.0,92.33,92.33,50.0
2026-01-04,32,offer,2,4,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,1870.4,20.0,93.52000000000001,93.52,20.0
2026-01-04,32,offer,3,1,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,9828.0,105.0,93.6,93.6,105.0
2026-01-04,32,offer,4,2,I_IBG-NEAS1,Energy,Centrica Energy Trading A/S,IBG-NEAS1,4682.0,50.0,93.64,93.64,50.0
2026-01-04,32,offer,5,5,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,4703.5,50.0,94.07,94.07,50.0
2026-01-04,32,offer,6,3,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,2375.5,25.0,95.02,95.02,25.0
2026-01-04,33,offer,12,4,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,2205.6,20.0,110.28,110.28,20.0
2026-01-04,33,offer,13,2,I_IBG-NEAS1,Energy,Centrica Energy Trading A/S,IBG-NEAS1,5528.0,50.0,110.56,110.56,50.0
2026-01-04,33,offer,14,3,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,5530.0,50.0,110.6,110.6,50.0
2026-01-04,33,offer,15,7,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,11143.0,100.0,111.43,111.43,100.0
2026-01-04,33,offer,16,5,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5573.5,50.0,111.47,111.47,50.0
2026-01-04,33,offer,17,1,I_IBG-INCM1,Energy,In Commodities A/S,IBG-INCM1,5595.0,50.0,111.9,111.9,50.0
2026-01-04,33,offer,18,6,I_IFG-INCM1,Energy,In Commodities A/S,IFG-INCM1,3362.1,30.0,112.07,112.07,30.0
2026-01-04,34,offer,14,5,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,2205.6,20.0,110.28,110.28,20.0
2026-01-04,34,offer,15,3,I_IBG-NEAS1,Energy,Centrica Energy Trading A/S,IBG-NEAS1,5528.0,50.0,110.56,110.56,50.0
2026-01-04,34,offer,16,1,I_ILG-DSKC1,Energy,Danske Commodities A/S,ILG-DSKC1,5530.0,50.0,110.6,110.6,50.0
2026-01-04,34,offer,17,2,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,11143.0,100.0,111.43,111.43,100.0
2026-01-04,34,offer,18,4,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5573.5,50.0,111.47,111.47,50.0
2026-01-04,34,offer,19,7,I_IBG-INCM1,Energy,In Commodities A/S,IBG-INCM1,5595.0,50.0,111.9,111.9,50.0
2026-01-04,34,offer,20,6,I_IFG-INCM1,Energy,In Commodities A/S,IFG-INCM1,3362.1,30.0,112.07,112.07,30.0
2026-01-04,35,offer,16,5,I_ING-NEAS1,Energy,Centrica Energy Trading A/S,ING-NEAS1,5658.5,50.0,113.17,113.17,50.0
2026-01-04,35,offer,17,3,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5660.5,50.0,113.21,113.21,50.0
2026-01-04,35,offer,18,4,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,2276.2,20.0,113.80999999999999,113.81,20.0
2026-01-04,35,offer,19,6,I_IFG-COPN1,Energy,Copenhagen Energy Trading A/S,IFG-COPN1,2849.75,25.0,113.99,113.99,25.0
2026-01-04,35,offer,20,7,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,11410.0,100.0,114.1,114.1,100.0
2026-01-04,35,offer,21,1,I_IBG-COPN1,Energy,Copenhagen Energy Trading A/S,IBG-COPN1,2857.25,25.0,114.29,114.29,25.0
2026-01-04,35,offer,22,8,I_IBG-INCM1,Energy,In Commodities A/S,IBG-INCM1,5723.5,50.0,114.47,114.47,50.0
2026-01-04,35,offer,23,2,I_IFG-INCM1,Energy,In Commodities A/S,IFG-INCM1,573.2,5.0,114.64000000000001,114.64,5.0
2026-01-04,36,offer,15,3,I_ING-NEAS1,Energy,Centrica Energy Trading A/S,ING-NEAS1,5658.5,50.0,113.17,113.17,50.0
2026-01-04,36,offer,16,4,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5660.5,50.0,113.21,113.21,50.0
2026-01-04,36,offer,17,8,I_IFG-EDFT1,Energy,EDF Trading Ltd,IFG-EDFT1,2276.2,20.0,113.80999999999999,113.81,20.0
2026-01-04,36,offer,18,1,I_IFG-COPN1,Energy,Copenhagen Energy Trading A/S,IFG-COPN1,2849.75,25.0,113.99,113.99,25.0
2026-01-04,36,offer,19,5,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,11410.0,100.0,114.1,114.1,100.0
2026-01-04,36,offer,20,2,I_IBG-COPN1,Energy,Copenhagen Energy Trading A/S,IBG-COPN1,2857.25,25.0,114.29,114.29,25.0
2026-01-04,36,offer,21,6,I_IBG-INCM1,Energy,In Commodities A/S,IBG-INCM1,5723.5,50.0,114.47,114.47,50.0
2026-01-04,36,offer,22,7,I_IFG-INCM1,Energy,In Commodities A/S,IFG-INCM1,573.2,5.0,114.64000000000001,114.64,5.0
2026-01-04,37,offer,10,4,I_IFG-OUTL1,Energy,Outlook Energy Ltd,IFG-OUTL1,11321.0,100.0,113.21,113.21,100.0
2026-01-04,37,offer,11,5,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5660.5,50.0,113.21,113.21,50.0
2026-01-04,37,offer,12,2,I_IFG-COPN1,Energy,Copenhagen Energy Trading A/S,IFG-COPN1,2849.75,25.0,113.99,113.99,25.0
2026-01-04,37,offer,13,1,I_IBG-INCM1,Energy,In Commodities A/S,IBG-INCM1,5705.5,50.0,114.11,114.11,50.0
2026-01-04,37,offer,14,3,I_IFG-INCM1,Energy,In Commodities A/S,IFG-INCM1,2857.0,25.0,114.28,114.28,25.0
2026-01-04,38,offer,7,2,I_IBG-DSKC1,Energy,Danske Commodities A/S,IBG-DSKC1,5660.5,50.0,113.21,113.21,50.0
