settlementDate,settlementPeriod,niv_volume,niv_long_short,niv_active_side,systemBuyPrice,systemSellPrice,systemPrice,marginal_bmu_raw,marginal_bmu_id,marginal_is_numeric_id,marginal_identity_source,marginal_fuel_type,marginal_family_id,marginal_lead_party,marginal_bmu_type,marginal_gen_capacity_mw,marginal_gsp_group,marginal_final_price,marginal_original_price,marginal_price_cost_to_so,marginal_stack_rank,marginal_bid_rank,marginal_volume,n_tied_marginal_candidates
2026-01-01,1,-300.6490437301587,long,bid,46.67,46.67,46.67,E_NEWPB-1,E_NEWPB-1,False,named_ispstack_id,BATTERY,E_NEWPB,Field Newport Ltd,E,20.933,South Wales,8.86,8.86,-8.86,1,1.0,-0.004166666666666667,1
2026-01-01,2,-14.569653356656167,long,bid,54.01,54.01,54.01,T_CARR-1,T_CARR-1,False,named_ispstack_id,CCGT,T_CARR,Carrington Power Ltd,T,470.0,,100.0,100.0,-100.0,5,1.0,-0.000105793650793651,1
2026-01-01,3,150.4260835198045,short,offer,91.9,91.9,91.9,T_SVRP-10,T_SVRP-10,False,named_ispstack_id,CCGT,T_SVRP,Severn Power Limited,T,425.0,,105.0,105.0,105.0,156,,15.75211111111111,1
2026-01-01,4,392.14060375,short,offer,92.0,92.0,92.0,2__DUKPR001,2__DUKPR001,False,named_ispstack_id,OCGT,2__DUKPR,UK Power Reserve Limited,S,20.0,Merseyside North Wales,125.0,125.0,125.0,396,,0.016666666666666666,2
2026-01-01,4,392.14060375,short,offer,92.0,92.0,92.0,2__JUKPR001,2__JUKPR001,False,named_ispstack_id,OCGT,2__JUKPR,UK Power Reserve Limited,S,50.0,South Eastern,125.0,125.0,125.0,397,,0.03333333333333333,2
2026-01-01,5,175.38281541666663,short,offer,91.9,91.9,91.9,2__BUKPR001,2__BUKPR001,False,named_ispstack_id,OCGT,2__BUKPR,UK Power Reserve Limited,S,10.359,East Midlands,125.0,125.0,125.0,302,,0.15,3
2026-01-01,5,175.38281541666663,short,offer,91.9,91.9,91.9,2__DUKPR001,2__DUKPR001,False,named_ispstack_id,OCGT,2__DUKPR,UK Power Reserve Limited,S,20.0,Merseyside North Wales,125.0,125.0,125.0,303,,0.31666666666666665,3
2026-01-01,5,175.38281541666663,short,offer,91.9,91.9,91.9,2__JUKPR001,2__JUKPR001,False,named_ispstack_id,OCGT,2__JUKPR,UK Power Reserve Limited,S,50.0,South Eastern,125.0,125.0,125.0,304,,0.6333333333333333,3
2026-01-01,6,134.18359152777776,short,offer,92.0,92.0,92.0,T_DINO-6,T_DINO-6,False,named_ispstack_id,PS,T_DINO,First Hydro Company,T,320.0,,120.0,120.0,120.0,79,,0.55,1
2026-01-01,7,72.84930916666667,short,offer,70.0,70.0,70.0,T_DRAXX-2,T_DRAXX-2,False,named_ispstack_id,BIOMASS,T_DRAXX,Drax Power Ltd,T,669.4,,104.0,104.0,104.0,393,,40.0,1
2026-01-01,8,23.785301574074072,short,offer,68.0,68.0,68.0,T_DRAXX-2,T_DRAXX-2,False,named_ispstack_id,BIOMASS,T_DRAXX,Drax Power Ltd,T,669.4,,104.0,104.0,104.0,345,,40.0,1
2026-01-01,9,-135.32222222222222,long,bid,41.51,41.51,41.51,E_THMRB-1,E_THMRB-1,False,named_ispstack_id,BATTERY,E_THMRB,Tesla Motors Limited,E,49.5,Eastern,20.62,20.62,-20.62,1,1.0,-0.008333333333333333,1
2026-01-01,10,-13.833042962962963,long,bid,37.64,37.64,37.64,T_CDCL-1,T_CDCL-1,False,named_ispstack_id,CCGT,T_CDCL,Uniper UK Limited,T,445.0,,63.11,63.11,-63.11,8,1.0,-3.1759259259259e-05,1
2026-01-01,11,23.66268888927164,short,offer,66.41,66.41,66.41,T_ROCK-1,T_ROCK-1,False,named_ispstack_id,CCGT,T_ROCK,Rocksavage Power Company Ltd,T,810.0,,105.0,105.0,105.0,212,,172.66666666666666,1
2026-01-01,12,-136.36761348486112,long,bid,34.98,34.98,34.98,E_CLAYB-1,E_CLAYB-1,False,named_ispstack_id,BATTERY,E_CLAYB,Tesla Motors Limited,E,49.5,Eastern,59.57,59.57,-59.57,29,3.0,-0.08333333333333333,1
2026-01-01,13,-36.23573434156378,long,bid,-8.279999999999998,-8.279999999999998,-8.279999999999998,2__MCMRO003,2__MCMRO003,False,named_ispstack_id,OTHER,2__MCMRO,BGI Trading Limited,S,50.0,Yorkshire,62.0,62.0,-62.0,32,2.0,-0.028125,1
2026-01-01,14,-99.94102514363725,long,bid,41.12,41.12,41.12,E_ILMEB-1,E_ILMEB-1,False,named_ispstack_id,BATTERY,E_ILMEB,Tesla Motors Limited,E,49.5,Eastern,64.99,64.99,-64.99,15,1.0,-0.7,1
2026-01-01,15,-133.04545872981956,long,bid,35.26,35.26,35.26,E_FARNB-1,E_FARNB-1,False,named_ispstack_id,BATTERY,E_FARNB,Tesla Motors Limited,E,20.0,Southern,50.36,50.36,-50.36,8,2.0,-0.008333333333333333,3
