settlementDate,settlementPeriod,current_code_final_price,intended_mirror_final_price,n_bid_rows,niv_volume,system_price,differs,current_code_cost_to_so,intended_mirror_cost_to_so,cost_to_so_delta,summary_min_selected_price,summary_max_selected_price,summary_n_candidates,summary_matches_intended_min,summary_still_matches_old_max
2023-01-01,1,20.0,-148.26,70,-102.6579,-8.07,True,-20.0,148.26,168.26,-148.26,-148.26,1.0,True,False
2023-01-01,4,20.0,-137.2,68,-353.6672,-17.14,True,-20.0,137.2,157.2,-137.2,-137.2,1.0,True,False
2023-01-01,5,20.0,-140.44,82,-372.5917,-32.61,True,-20.0,140.44,160.44,-140.44,-140.44,1.0,True,False
2023-01-01,6,5.0,-140.44,103,-687.8674,-44.0,True,-5.0,140.44,145.44,-140.44,-140.44,1.0,True,False
2023-01-01,7,0.05,-154.96,121,-674.1594,-44.0,True,-0.05,154.96,155.01000000000002,-154.96,-154.96,2.0,True,False
2023-01-01,8,-11.67,-173.34,123,-750.1941,-48.04,True,11.67,173.34,161.67000000000002,-173.34,-173.34,1.0,True,False
2023-01-01,9,-11.16,-173.34,110,-533.3462,-43.98,True,11.16,173.34,162.18,-173.34,-173.34,1.0,True,False
2023-01-01,10,-11.16,-150.17,67,-219.6918,-17.74,True,11.16,150.17,139.01,-150.17,-150.17,1.0,True,False
2023-01-01,11,-12.75,-150.16988,67,-219.675,-32.61,True,12.75,150.16988,137.41988,-150.16988,-150.16988,1.0,True,False
2023-01-01,12,0.05,-173.34,81,-474.0476,-44.0,True,-0.05,173.34,173.39000000000001,-173.34,-173.34,2.0,True,False
2023-01-01,13,-8.09,-173.34,104,-531.7495,-43.98,True,8.09,173.34,165.25,-173.34,-173.34,2.0,True,False
2023-01-01,14,-8.09,-173.34,101,-467.9993,-42.91,True,8.09,173.34,165.25,-173.34,-173.34,1.0,True,False
2023-01-01,15,-26.61,-173.34,91,-417.0255,-45.0,True,26.61,173.34,146.73000000000002,-173.34,-173.34,1.0,True,False
2023-01-01,16,0.05,-173.34,81,-334.8063,-43.18,True,-0.05,173.34,173.39000000000001,-173.34,-173.34,1.0,True,False
2023-01-01,17,30.0,-174.51,104,-582.2972,-39.7,True,-30.0,174.51,204.51,-174.51,-174.51,4.0,True,False
2023-01-01,18,170.0,-179.2,87,-205.5275,-31.61,True,-170.0,179.2,349.2,-179.2,-179.2,1.0,True,False
2023-01-01,38,50.0,41.05,38,-29.6893,50.0,True,-50.0,-41.05,8.950000000000003,41.05,41.05,7.0,True,False
2023-01-01,45,51.0,10.0,28,-15.0645,42.0,True,-51.0,-10.0,41.0,10.0,10.0,1.0,True,False
2023-01-02,3,112.61,10.0,61,-364.9334,42.0,True,-112.61,-10.0,102.61,10.0,10.0,3.0,True,False
2023-01-02,4,100.0,-69.49,81,-678.6015,42.0,True,-100.0,69.49,169.49,-69.49,-69.49,2.0,True,False
2023-01-02,5,46.93,-69.49,84,-578.09,42.0,True,-46.93,69.49,116.41999999999999,-69.49,-69.49,2.0,True,False
2023-01-02,6,42.5,-69.49,78,-660.0752,15.0,True,-42.5,69.49,111.99,-69.49,-69.49,3.0,True,False
2023-01-02,7,63.54,-135.0,83,-874.5705,0.0,True,-63.54,135.0,198.54,-135.0,-135.0,2.0,True,False
2023-01-02,8,63.54,-160.16,114,-1267.2916,-66.55,True,-63.54,160.16,223.7,-160.16,-160.16,1.0,True,False
2023-01-02,9,63.54,-161.57,159,-1283.7958,-95.71,True,-63.54,161.57,225.10999999999999,-161.57,-161.57,2.0,True,False
2023-01-02,10,9.1,-161.57,164,-1114.595,-88.0,True,-9.1,161.57,170.67,-161.57,-161.57,2.0,True,False
2023-01-02,11,10.0,-160.0,125,-971.2431,-60.0,True,-10.0,160.0,170.0,-160.0,-160.0,3.0,True,False
2023-01-02,12,10.21,-96.81,111,-775.8835,-50.0,True,-10.21,96.81,107.02000000000001,-96.81,-96.81,1.0,True,False
2023-01-02,13,10.21,-90.95,110,-396.2516,0.1,True,-10.21,90.95,101.16,-90.95,-90.95,1.0,True,False
2023-01-02,14,82.0,-88.0,106,-467.3055,10.0,True,-82.0,88.0,170.0,-88.0,-88.0,2.0,True,False
2023-01-02,15,82.0,-95.4,98,-690.1465,10.0,True,-82.0,95.4,177.4,-95.4,-95.4,1.0,True,False
2023-01-02,16,82.0,-74.69,70,-710.5599,10.0,True,-82.0,74.69,156.69,-74.69,-74.69,1.0,True,False
2023-01-02,17,51.0,-69.49,38,-556.1167,-60.0,True,-51.0,69.49,120.49,-69.49,-69.49,1.0,True,False
2023-01-02,18,35.0,0.1,18,-210.92729,10.21,True,-35.0,-0.1,34.9,0.1,0.1,1.0,True,False
2023-01-02,19,115.0,10.21,18,-292.0361,10.21,True,-115.0,-10.21,104.78999999999999,10.21,10.21,4.0,True,False
2023-01-02,20,115.0,10.21,19,-194.1264,10.21,True,-115.0,-10.21,104.78999999999999,10.21,10.21,3.0,True,False
2023-01-02,21,115.0,10.21,20,-421.0077,11.0,True,-115.0,-10.21,104.78999999999999,10.21,10.21,1.0,True,False
2023-01-02,22,115.0,15.0,14,-195.8127,50.0,True,-115.0,-15.0,100.0,15.0,15.0,3.0,True,False
2023-01-02,23,115.0,15.0,12,-90.8895,15.0,True,-115.0,-15.0,100.0,15.0,15.0,3.0,True,False
2023-01-02,24,51.0,15.0,26,-254.85352,15.0,True,-51.0,-15.0,36.0,15.0,15.0,5.0,True,False
2023-01-02,25,51.0,18.0,35,-542.60114,18.0,True,-51.0,-18.0,33.0,18.0,18.0,2.0,True,False
2023-01-02,26,51.0,20.0,21,-215.45999,37.91379,True,-51.0,-20.0,31.0,20.0,20.0,2.0,True,False
2023-01-02,29,60.0,0.0,27,-86.24931,60.0,True,-60.0,-0.0,60.0,0.0,0.0,1.0,True,False
