label_x_side,marginal_bmu_id,niv_active_side,marginal_fuel_type,marginal_family_id,n_rows,mean_system_price,sd_system_price,min_system_price,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,max_system_price,median_raw_marginal_price,p05_raw_marginal_price,p95_raw_marginal_price,median_niv_mwh,share_of_unit_margin_rows,rank_by_frequency
T_GRAI-8_BID,T_GRAI-8,bid,CCGT,T_GRAI,1158,65.49168157042907,21.694134425143297,-17.92,29.85,55.0,64.315,77.29999999999998,104.78749999999997,146.6,59.0,2.0,101.2,-122.461055,0.017040688691045545,1
T_WBURB-3_BID,T_WBURB-3,bid,CCGT,T_WBURB_CC,902,64.92093158279195,23.762080155531144,-16.64,25.0,52.115,63.0,76.45,105.0095,170.0,56.175,0.0,101.9,-140.94156756944443,0.013273489809432713,2
T_WBURB-2_BID,T_WBURB-2,bid,CCGT,T_WBURB_CC,875,66.7886380226338,23.818521814404367,0.0,29.721000000000004,53.185,65.0,79.03,105.003,170.0,57.51,0.0,100.3,-129.54549,0.01287616805238761,3
T_SEAB-1_OFFER,T_SEAB-1,offer,CCGT,T_SEAB,835,118.18550637598749,32.50174782133191,31.04,81.47,98.0,111.0,128.8,190.0,269.0,130.0,97.85,220.0,155.85361502911766,0.012287543227135605,4
T_GRAI-7_BID,T_GRAI-7,bid,CCGT,T_GRAI,827,62.481507392531654,20.651810727497228,-10.14,20.680000000000003,53.685,63.3,75.42499999999998,93.214,146.6,55.64,1.0,86.0,-127.80431457431456,0.012169818262085203,5
T_HUMR-1_BID,T_HUMR-1,bid,CCGT,T_HUMR_CC,823,50.57629918977042,27.701316275594635,-50.0,1.0,39.03,54.0,66.85,89.61099999999998,123.25,5.0,-50.0,76.50399999999999,-180.58985533955624,0.012110955779560003,6
T_MRWD-1_BID,T_MRWD-1,bid,CCGT,T_MRWD,769,65.82192381960797,20.781469501379224,-7.86,36.066,55.19,63.9,75.5,105.11,126.0,60.0,0.0,103.0,-137.60324133838384,0.011316312265469796,7
T_WBURB-1_BID,T_WBURB-1,bid,CCGT,T_WBURB_CC,765,67.94798329049321,23.938138694712134,-4.84,33.0,53.3,65.05,78.97,106.73399999999995,170.0,58.7,0.0,102.79999999999995,-131.241,0.011257449782944596,8
T_GRAI-6_BID,T_GRAI-6,bid,CCGT,T_GRAI,758,63.18014290463548,23.181388013321442,-17.92,16.01,52.0,63.625,77.02999999999999,100.0,193.38,52.0,1.0,94.5,-141.1507652979066,0.011154440438525495,9
T_DRAXX-3_BID,T_DRAXX-3,bid,BIOMASS,T_DRAXX,731,44.883286203471805,30.143514188888407,-60.0,0.0,26.125,50.0,65.275,86.055,125.5704,0.0,-60.0,66.65,-180.1171,0.01075711868148039,10
T_DRAXX-2_BID,T_DRAXX-2,bid,BIOMASS,T_DRAXX,729,43.09969231039669,29.48411927728202,-49.64,0.0,20.523785071894544,47.0,63.21,90.0,140.0,0.0,-60.0,65.45,-182.7711631025045,0.01072768744021779,11
T_DAMC-1_OFFER,T_DAMC-1,offer,CCGT,T_DAMC,701,124.91186672319135,33.010339941814934,50.0,86.5,103.85,118.68,136.0,189.3701,310.0,135.0,96.9,235.0,146.34648315893145,0.010315650062541388,12
T_COSO-1_OFFER,T_COSO-1,offer,CCGT,T_COSO,696,129.07132912383076,106.78263552984538,0.0,85.0,99.99,115.0,134.8025,190.4450975,1950.0,131.5,96.975,281.25,149.68431597455648,0.010242071959384888,13
T_CDCL-1_BID,T_CDCL-1,bid,CCGT,T_CDCL,646,60.19580816792642,21.33809856995809,0.0,20.26,50.584999999999994,60.0,70.4425,101.975,132.5,50.14,1.0,96.9,-128.8734221291345,0.00950629092781988,14
E_SHOS-1_BID,E_SHOS-1,bid,CCGT,E_SHOS,641,62.026555560063954,19.579544117892198,-21.68,30.0,51.9,62.0,73.0,92.41,150.0,55.5,5.0,83.04,-133.5987,0.00943271282466338,15
T_HUMR-1_OFFER,T_HUMR-1,offer,CCGT,T_HUMR_CC,618,123.15962070523696,38.370421659292006,0.0,76.97499999999998,98.0,115.74999,139.0,195.135,275.0,149.0,92.9,279.0,176.42396,0.009094253550143478,16
T_CRUA-1_OFFER,T_CRUA-1,offer,PS,T_CRUA,580,129.0028813352902,35.933552935375026,66.5,88.34223893477994,106.375,120.12644499999999,142.10500000000002,199.03749999999997,450.0,141.385,107.4,235.39999999999964,151.66840175438597,0.008535059966154073,17
T_KEAD-2_BID,T_KEAD-2,bid,CCGT,T_KEAD,578,57.66535364919883,15.67684915323437,-12.62,33.274499999999996,50.5775,58.0,65.65,82.0,103.37,55.0,0.0,77.47999999999998,-163.85142923487467,0.008505628724891473,18
T_DINO-1_OFFER,T_DINO-1,offer,PS,T_DINO,571,106.67371852451957,19.535829708313273,38.16,76.92509090909091,93.4,104.99170439687975,120.0,139.0,163.1,121.0,100.0,160.0,166.95534125,0.00840261938047237,19
T_DINO-2_OFFER,T_DINO-2,offer,PS,T_DINO,544,147.7672423761703,45.179711687336834,19.98,81.915,109.3575,150.0,184.0,219.60650000000004,282.0,188.0,113.5,299.2500000000001,202.76496,0.008005297623427268,20
T_DRAXX-4_BID,T_DRAXX-4,bid,BIOMASS,T_DRAXX,524,45.44569583804894,30.492515105669597,-60.0,0.0,25.0,50.010000000000005,66.1,91.30049999999994,115.73,0.0,-60.0,70.5,-191.10673497459442,0.007710985210801265,21
T_EECL-1_BID,T_EECL-1,bid,CCGT,T_EECL,494,60.56726736101527,21.60814283113889,0.0,14.300000000000004,52.0,61.6,70.6,99.04599999999998,132.5,51.0,1.0,87.47999999999996,-137.65269617753705,0.007269516591862262,22
T_SHBA-1_OFFER,T_SHBA-1,offer,CCGT,T_SHBA,488,121.10400330837982,36.96910968985196,17.04,83.07000000000001,99.5,114.0,129.9,193.0,485.0,123.75,94.9935,235.0,164.87840512152778,0.007181222868074461,23
T_DRAXX-1_BID,T_DRAXX-1,bid,BIOMASS,T_DRAXX,481,16.337067983471353,34.04990050990855,-71.32,-26.0,-11.52,8.769999999999998,47.1,70.0,90.25,-45.0,-71.32,20.0,-234.85398433311576,0.00707821352365536,24
T_STAY-2_BID,T_STAY-2,bid,CCGT,T_STAY,450,63.07912828986697,17.550282311369372,0.0,33.5025,53.1275,63.045,73.6375,91.54999999999995,120.2,59.0,10.900000000000006,88.65,-171.1721,0.0066220292840850565,25
T_MRWD-1_OFFER,T_MRWD-1,offer,CCGT,T_MRWD,448,105.40773865212373,28.505535991324916,0.0,72.36999999999999,93.4225,102.0,111.9,178.29999999999995,207.0,112.95,85.0,189.29999999999995,134.68508250962,0.006592598042822456,26
T_PEMB-21_BID,T_PEMB-21,bid,CCGT,T_PEMB,443,59.73403978822345,19.15112458210003,-9.54,21.490000000000006,51.0,59.8,70.0,90.0,132.5,55.0,10.0,84.04499999999999,-189.9183,0.006519019939665955,27
T_DINO-3_OFFER,T_DINO-3,offer,PS,T_DINO,436,124.37567817099884,38.33790536476839,42.69,81.0,98.90840148470464,117.0,141.0,190.0,323.0,142.25,99.9975,300.0,176.39396851154004,0.006416010595246854,28
