niv_active_side,technology,marginal_periods,p05,p10,q1,median,q3,p90,p95,iqr
bid,CCGT,11979,26.0,39.56399999999999,52.465,62.55,73.6,89.64200000000002,101.0,21.13499999999999
bid,BATTERY,4881,-8.13,1.0,37.8,59.0,69.37,81.54,91.0,31.570000000000007
bid,WIND,3284,-61.643499999999996,-40.05,-18.785,0.0,31.67,54.15,66.21999999999998,50.455
bid,OTHER,2102,-7.596391965851431,4.213000000000001,42.985,60.0,70.0,82.0,91.23149999999997,27.015
bid,BIOMASS,1756,-19.19,-8.921198316607928,7.0,43.864999999999995,61.302499999999995,75.24000000000001,81.09999999999998,54.302499999999995
bid,PS,1694,0.0,0.0,35.0,55.0,69.8,90.0,101.43849999999999,34.8
bid,LOAD RESPONSE,996,-10.0,0.0,32.0,55.254999999999995,69.57749999999999,82.48456881098669,90.965,37.577499999999986
bid,NPSHYD,326,0.0,15.5,36.61,57.135000000000005,67.07499999999999,80.03999999999999,95.0,30.46499999999999
bid,COAL,263,30.235000000000003,39.81,50.55,59.6,69.058745,97.14200000000001,105.94999999999999,18.508745000000005
bid,NEMO,225,-50.368,-33.785999999999994,-15.34,0.8299999999999998,33.72,57.006,59.95408,49.06
bid,IFA,217,-30.928,-16.645999999999997,-4.19,8.199999999999998,35.5,54.622,57.0,39.69
bid,BritNed,196,-44.25,-25.11,-14.4627175,-3.16,29.82,51.22,57.265,44.282717500000004
bid,OCGT,166,-1.965,10.125,50.14,64.75,83.6275,99.11500000000001,109.0,33.4875
bid,Viking,119,-26.549046,-22.64,-9.497169791534105,0.8299999999999998,22.465,44.732,51.18769583333332,31.962169791534105
bid,IFA2,104,-38.318,-26.54,-17.1775,-3.325,19.805,49.71903000000002,60.0,36.9825
bid,Eleclink,41,-15.76,-11.29,-6.99,4.34,30.0,48.47,64.0,36.99
bid,GAS,22,29.213,30.151,63.36861223108485,74.41977135863905,84.54999999999998,94.745,118.75499999999998,21.18138776891513
bid,DIESEL,17,55.88,59.232,75.09,87.53,110.71,114.72,115.888,35.61999999999999
bid,SOLAR,12,-43.72,-42.431999999999995,-30.735,-11.35,12.9775,31.73500000000001,48.57449999999998,43.7125
offer,CCGT,11096,81.0,88.0,98.0,113.9,132.0,170.0,192.0,34.0
offer,PS,4491,82.77499999999999,89.0,100.55,119.0,145.0,185.0,203.0,44.45
offer,BATTERY,4386,75.32749999999999,84.545,95.17999999999999,107.235,122.0,139.45999999999998,153.7290066061505,26.820000000000007
offer,OTHER,1496,75.2925,84.90814403715491,95.0,107.345,123.99960296453149,141.64,160.02972499999998,28.99960296453149
offer,LOAD RESPONSE,1069,77.83999999999999,85.0,96.0,109.0,124.0,140.0,154.9,28.0
offer,NPSHYD,429,84.39200000000001,91.538,103.0,117.0,135.0,173.2,201.4127239999999,32.0
offer,DIESEL,413,85.0,90.0,100.0,114.71,129.0,145.80012640227525,164.97,29.0
offer,OCGT,382,81.60599999999998,90.9,104.0,114.37479876576336,129.975,161.90000000000003,179.95,25.974999999999994
offer,BIOMASS,323,68.66199999999999,76.02381079495453,90.92187692930679,103.0,126.7,149.00000000000006,171.64999999999992,35.77812307069321
offer,COAL,264,75.419,81.561,96.49515,116.95,141.895,188.0,199.7,45.399850000000015
offer,BritNed,148,87.509,99.42,116.00750000000001,130.92000000000002,158.1675,196.53000000000006,238.66100000000023,42.15999999999998
offer,GAS,148,81.73999999999998,92.874,103.9875,118.95,139.22498000000002,166.54379700000004,207.15000000000006,35.23748000000002
offer,NEMO,98,94.591,96.83292849035186,114.1325,130.64499999999998,162.4325,205.0,212.275,48.30000000000001
offer,Viking,74,98.09,103.06,110.615,123.85,164.75,281.5000000000001,389.0,54.135000000000005
offer,IFA,50,86.843,93.08999999999999,110.25,145.075,155.63011300967364,198.53300000000002,206.4105,45.380113009673636
offer,WIND,33,29.652178493166158,42.232,67.14,80.0,86.84,99.32000000000001,100.70006818026862,19.700000000000003
offer,IFA2,26,103.24259389878328,115.48518779756657,137.925,159.75006666666667,204.9575,359.25,421.46250000000003,67.0325
offer,Eleclink,14,95.814,102.939,107.8525325,123.02000000000001,133.205,142.078,156.938,25.352467500000017
