technology,niv_active_side,tie_adjusted_sp_weight,side_total_sp_weight,share,share_pct
CCGT,bid,11808.29567099567,26987.0,0.43755495872070516,43.75549587207052
BATTERY,bid,4547.009872072372,26987.0,0.16848889732361402,16.848889732361403
WIND,bid,3282.233333333333,26987.0,0.12162275663591111,12.162275663591112
OTHER,bid,1765.2634004884005,26987.0,0.06541162042792457,6.5411620427924575
BIOMASS,bid,1653.6558774558775,26987.0,0.061276017247410886,6.127601724741089
PS,bid,1593.0703144078143,26987.0,0.05903102658345923,5.903102658345923
DSR,bid,795.5732073482073,26987.0,0.02947986835692027,2.947986835692027
NPSHYD,bid,309.0330641580642,26987.0,0.011451182575242308,1.1451182575242307
NEMO,bid,219.0,26987.0,0.008115018342164746,0.8115018342164746
IFA,bid,211.16666666666666,26987.0,0.007824755129012734,0.7824755129012734
BritNed,bid,192.0,26987.0,0.007114536628747174,0.7114536628747175
COAL,bid,159.50930735930737,26987.0,0.0059105979678848106,0.5910597967884811
OCGT,bid,149.18571428571428,26987.0,0.005528058483185026,0.5528058483185025
Viking,bid,117.0,26987.0,0.004335420758142809,0.43354207581428095
IFA2,bid,103.0,26987.0,0.0038166524622966613,0.38166524622966613
Eleclink,bid,39.0,26987.0,0.0014451402527142698,0.14451402527142698
DIESEL,bid,15.666666666666666,26987.0,0.0005805264263040229,0.058052642630402294
GAS,bid,15.336904761904762,26987.0,0.0005683071390634292,0.056830713906342915
SOLAR,bid,12.0,26987.0,0.0004446585392966984,0.04446585392966984
CCGT,offer,10929.393625818626,23697.0,0.4612142307388541,46.12142307388541
PS,offer,4378.152294927295,23697.0,0.18475555112154682,18.47555511215468
BATTERY,offer,4103.814191437218,23697.0,0.1731786382848976,17.31786382848976
OTHER,offer,1206.1226069252384,23697.0,0.05089769198317249,5.089769198317249
DSR,offer,887.9006540973646,23697.0,0.037468905519574824,3.7468905519574824
NPSHYD,offer,405.71679154179157,23697.0,0.01712101918140657,1.7121019181406572
DIESEL,offer,381.22742535242537,23697.0,0.01608758177627655,1.608758177627655
OCGT,offer,329.0993829270145,23697.0,0.01388780786289465,1.388780786289465
BIOMASS,offer,314.75,23697.0,0.013282272017554964,1.3282272017554964
COAL,offer,231.95,23697.0,0.009788158838671561,0.9788158838671561
BritNed,offer,146.66666666666666,23697.0,0.006189250397378008,0.6189250397378009
NEMO,offer,96.83333333333333,23697.0,0.004086311910087071,0.40863119100870715
GAS,offer,89.37302697302697,23697.0,0.003771491200279654,0.3771491200279654
Viking,offer,73.0,23697.0,0.003080558720513145,0.3080558720513145
IFA,offer,50.0,23697.0,0.0021099717263788663,0.21099717263788664
WIND,offer,33.0,23697.0,0.0013925813394100519,0.1392581339410052
IFA2,offer,26.0,23697.0,0.0010971852977170106,0.10971852977170106
Eleclink,offer,14.0,23697.0,0.0005907920833860826,0.05907920833860826
