niv_active_side,quarter,technology,technology_sp_weight,side_quarter_sp_weight,share,share_pct
bid,2023Q1,CCGT,1132.0083333333334,2066.0,0.5479227170054857,54.79227170054857
bid,2023Q1,WIND,328.5,2066.0,0.1590029041626331,15.90029041626331
bid,2023Q1,PS,231.66898656898655,2066.0,0.1121340690072539,11.21340690072539
bid,2023Q1,BIOMASS,170.56540126540125,2066.0,0.08255827747599286,8.255827747599286
bid,2023Q1,OTHER,38.42657342657343,2066.0,0.018599503110635733,1.8599503110635733
bid,2023Q1,NPSHYD,38.09417526917527,2066.0,0.018438613392630816,1.8438613392630816
bid,2023Q1,NEMO,34.5,2066.0,0.01669893514036786,1.669893514036786
bid,2023Q1,COAL,32.21904761904762,2066.0,0.015594892361591298,1.5594892361591297
bid,2023Q1,BritNed,31.0,2066.0,0.015004840271055178,1.5004840271055178
bid,2023Q1,BATTERY,16.226573426573427,2066.0,0.007854101368138154,0.7854101368138154
bid,2023Q1,DSR,5.290909090909091,2066.0,0.0025609434128311187,0.25609434128311187
bid,2023Q1,Eleclink,3.0,2066.0,0.001452081316553727,0.14520813165537272
bid,2023Q1,IFA,2.5,2066.0,0.0012100677637947724,0.12100677637947724
bid,2023Q1,IFA2,2.0,2066.0,0.000968054211035818,0.0968054211035818
bid,2023Q2,CCGT,1713.5166666666667,2425.0,0.7066048109965636,70.66048109965635
bid,2023Q2,PS,168.06666666666666,2425.0,0.06930584192439862,6.930584192439862
bid,2023Q2,BIOMASS,120.81666666666666,2425.0,0.049821305841924395,4.982130584192439
bid,2023Q2,WIND,112.0,2425.0,0.04618556701030928,4.618556701030927
bid,2023Q2,BATTERY,92.15,2425.0,0.038,3.8
bid,2023Q2,OTHER,89.53333333333333,2425.0,0.036920962199312714,3.6920962199312712
bid,2023Q2,DSR,32.583333333333336,2425.0,0.013436426116838488,1.343642611683849
bid,2023Q2,IFA,26.0,2425.0,0.010721649484536083,1.0721649484536082
bid,2023Q2,IFA2,24.0,2425.0,0.009896907216494845,0.9896907216494845
bid,2023Q2,NEMO,18.0,2425.0,0.007422680412371134,0.7422680412371134
bid,2023Q2,BritNed,17.0,2425.0,0.0070103092783505155,0.7010309278350515
bid,2023Q2,NPSHYD,7.0,2425.0,0.00288659793814433,0.28865979381443296
bid,2023Q2,Eleclink,3.0,2425.0,0.0012371134020618556,0.12371134020618556
bid,2023Q2,COAL,1.3333333333333333,2425.0,0.000549828178694158,0.054982817869415807
bid,2023Q3,CCGT,1251.1333333333334,2308.0,0.5420854997111497,54.20854997111497
bid,2023Q3,WIND,443.0,2308.0,0.19194107452339687,19.194107452339686
bid,2023Q3,BATTERY,166.95634920634922,2308.0,0.07233810624191907,7.233810624191907
bid,2023Q3,PS,107.16666666666667,2308.0,0.04643269786250722,4.643269786250722
bid,2023Q3,BIOMASS,97.53333333333333,2308.0,0.04225880993645292,4.2258809936452915
bid,2023Q3,OTHER,95.0952380952381,2308.0,0.04120244284888999,4.120244284888999
bid,2023Q3,NEMO,30.0,2308.0,0.012998266897746967,1.2998266897746966
bid,2023Q3,DSR,29.9484126984127,2308.0,0.012975915380594756,1.2975915380594756
bid,2023Q3,IFA2,22.0,2308.0,0.009532062391681109,0.9532062391681109
bid,2023Q3,IFA,15.0,2308.0,0.006499133448873483,0.6499133448873483
bid,2023Q3,NPSHYD,15.0,2308.0,0.006499133448873483,0.6499133448873483
bid,2023Q3,COAL,13.166666666666666,2308.0,0.005704794916233391,0.5704794916233391
bid,2023Q3,BritNed,12.0,2308.0,0.005199306759098787,0.5199306759098787
bid,2023Q3,Eleclink,5.0,2308.0,0.002166377816291161,0.21663778162911612
bid,2023Q3,OCGT,3.0,2308.0,0.0012998266897746968,0.12998266897746968
bid,2023Q3,DIESEL,2.0,2308.0,0.0008665511265164644,0.08665511265164644
bid,2023Q4,CCGT,873.1714285714286,2121.0,0.4116791270963831,41.16791270963831
bid,2023Q4,WIND,540.3333333333334,2121.0,0.25475404683325475,25.475404683325475
bid,2023Q4,BIOMASS,189.8357142857143,2121.0,0.08950292988482522,8.950292988482522
bid,2023Q4,PS,185.53333333333333,2121.0,0.08747446173188747,8.747446173188747
bid,2023Q4,BATTERY,108.62478354978354,2121.0,0.05121394792540478,5.121394792540478
bid,2023Q4,COAL,41.635714285714286,2121.0,0.019630228328955345,1.9630228328955346
bid,2023Q4,BritNed,39.666666666666664,2121.0,0.0187018701870187,1.87018701870187
bid,2023Q4,NPSHYD,30.666666666666668,2121.0,0.01445858871601446,1.445858871601446
bid,2023Q4,NEMO,29.0,2121.0,0.013672795851013672,1.3672795851013673
bid,2023Q4,OTHER,28.123160173160173,2121.0,0.013259387163206116,1.3259387163206116
bid,2023Q4,DSR,26.266341991341992,2121.0,0.012383942475880242,1.238394247588024
bid,2023Q4,IFA,22.0,2121.0,0.010372465818010372,1.0372465818010372
bid,2023Q4,Eleclink,4.0,2121.0,0.001885902876001886,0.1885902876001886
bid,2023Q4,DIESEL,1.0,2121.0,0.0004714757190004715,0.04714757190004715
bid,2023Q4,IFA2,1.0,2121.0,0.0004714757190004715,0.04714757190004715
bid,2023Q4,GAS,0.14285714285714285,2121.0,6.73536741429245e-05,0.00673536741429245
bid,2024Q1,CCGT,1003.962987012987,2173.0,0.4620170211748675,46.20170211748675
bid,2024Q1,BATTERY,271.6439393939394,2173.0,0.12500871578184047,12.500871578184046
bid,2024Q1,WIND,259.0,2173.0,0.11919005982512655,11.919005982512655
