side,marginal_bmu_id,technology_key,n_marginal_sps,tie_adjusted_weight,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,marginal_side_share_pct,technology_side_median_system_price,p05_system_price_deviation,p25_system_price_deviation,median_system_price_deviation,p75_system_price_deviation,p95_system_price_deviation,registered_capacity_mw,plant_family,lead_party,displayed_in_figure
BID,T_HUMR-1,CCGT,823,808.1666666666666,1.0,39.03,54.0,66.85,89.61099999999998,2.9946517459023476,62.55,-61.55,-23.519999999999996,-8.549999999999997,4.299999999999997,27.06099999999998,1283.0,T_HUMR_CC,VPI Immingham LLP,True
BID,T_MRWD-1,CCGT,769,672.0130952380953,36.066,55.19,63.9,75.5,105.11,2.490136344306871,62.55,-26.483999999999995,-7.359999999999999,1.3500000000000014,12.950000000000003,42.56,920.0,T_MRWD,Marchwood Power Limited,True
BID,T_GRAI-8,CCGT,1158,587.4039793539794,29.85,55.0,64.315,77.29999999999998,104.78749999999997,2.1766182953050706,62.55,-32.699999999999996,-7.549999999999997,1.7650000000000006,14.749999999999986,42.23749999999997,468.0,T_GRAI,Uniper UK Limited,True
BID,E_SHOS-1,CCGT,641,557.536507936508,30.0,51.9,62.0,73.0,92.41,2.065944743530248,62.55,-32.55,-10.649999999999999,-0.5499999999999972,10.450000000000003,29.86,460.0,E_SHOS,VPI Power Limited,True
BID,T_WBURB-3,CCGT,902,525.0832722832723,25.0,52.115,63.0,76.45,105.0095,1.9456896738550868,62.55,-37.55,-10.434999999999995,0.45000000000000284,13.900000000000006,42.459500000000006,470.0,T_WBURB_CC,West Burton B Limited,True
BID,T_WBURB-2,CCGT,875,523.3808913308914,29.721000000000004,53.185,65.0,79.03,105.003,1.9393815219583184,62.55,-32.82899999999999,-9.364999999999995,2.450000000000003,16.480000000000004,42.453,470.0,T_WBURB_CC,West Burton B Limited,True
BID,T_KEAD-2,CCGT,578,497.95714285714286,33.274499999999996,50.5775,58.0,65.65,82.0,1.8451741314601209,62.55,-29.2755,-11.972499999999997,-4.549999999999997,3.1000000000000085,19.450000000000003,890.0,T_KEAD,Keadby Generation Limited,True
BID,T_DRAXX-3,BIOMASS,731,455.3571178821179,0.0,26.125,50.0,65.275,86.055,1.687320257465142,43.864999999999995,-43.864999999999995,-17.739999999999995,6.135000000000005,21.41000000000001,42.19000000000001,661.4,T_DRAXX,Drax Power Ltd,True
BID,T_GRAI-7,CCGT,827,422.71187978687976,20.680000000000003,53.685,63.3,75.42499999999998,93.214,1.566353725078296,62.55,-41.86999999999999,-8.864999999999995,0.75,12.874999999999986,30.664,468.0,T_GRAI,Uniper UK Limited,True
BID,T_WBURB-1,CCGT,765,399.27335164835165,33.0,53.3,65.05,78.97,106.73399999999995,1.4795025443671088,62.55,-29.549999999999997,-9.25,2.5,16.42,44.183999999999955,470.0,T_WBURB_CC,West Burton B Limited,True
BID,T_CDCL-1,CCGT,646,381.1198162948163,20.26,50.584999999999994,60.0,70.4425,101.975,1.4122348400889921,62.55,-42.28999999999999,-11.965000000000003,-2.549999999999997,7.892499999999998,39.425,445.0,T_CDCL,Uniper UK Limited,True
BID,T_DINO-3,PS,273,226.897557997558,0.0,28.83,55.0,71.8,100.79999999999995,0.8407661392431838,55.0,-55.0,-26.17,0.0,16.799999999999997,45.799999999999955,320.0,T_DINO,First Hydro Company,True
BID,T_PNYCW-1,WIND,222,220.5,-43.79,-19.112447500000002,0.0,21.385,59.71199999999993,0.8170600659576833,0.0,-43.79,-19.112447500000002,0.0,21.385,59.71199999999993,228.0,T_PNYCW,Pen y Cymoedd Wind Farm LTD,True
BID,E_DOLLB-1,BATTERY,251,215.9567821067821,-8.89,30.202505441998802,56.2,65.47,81.32161245525077,0.8002252273568091,59.0,-67.89,-28.797494558001198,-2.799999999999997,6.469999999999999,22.321612455250772,102.0,E_DOLLB,Dollymans Storage Limited,True
BID,T_DRAXX-2,BIOMASS,729,447.699975024975,0.0,20.523785071894544,47.0,63.21,90.0,1.658946807814781,43.864999999999995,-43.864999999999995,-23.34121492810545,3.135000000000005,19.345000000000006,46.135000000000005,669.4,T_DRAXX,Drax Power Ltd,False
BID,T_DRAXX-1,BIOMASS,481,443.9166666666667,-26.0,-11.52,8.769999999999998,47.1,70.0,1.644927804745495,43.864999999999995,-69.865,-55.38499999999999,-35.095,3.2350000000000065,26.135000000000005,665.248,T_DRAXX,Drax Power Ltd,False
