tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
1,T_HUMR-1,CCGT,T_HUMR_CC,VPI Immingham LLP,1283.0,1441,808.1666666666666,589.5,1397.6666666666665,2.757609238944571,1.5945202956883169,1.1630889432562543,Bid,0.5782256141187694
2,T_SEAB-1,CCGT,T_SEAB,Seabank Power Limited,830.0,1180,310.34166666666664,793.5364468864469,1103.8781135531135,2.1779617109011,0.6123069739299712,1.565654736971129,Offer,0.7188623790467656
3,T_MRWD-1,CCGT,T_MRWD,Marchwood Power Limited,920.0,1217,672.0130952380953,417.0833333333333,1089.0964285714285,2.148797309942839,1.3258880420607988,0.8229092678820402,Bid,0.6170372775159837
4,T_WBURB-3,CCGT,T_WBURB_CC,West Burton B Limited,470.0,1224,525.0832722832723,294.71666666666664,819.7999389499389,1.6174728493211643,1.0359941446674934,0.581478704653671,Bid,0.6405017216222756
5,T_GRAI-8,CCGT,T_GRAI,Uniper UK Limited,468.0,1463,587.4039793539794,206.65,794.0539793539793,1.5666758333083013,1.1589534751676651,0.4077223581406361,Bid,0.7397532090096384
6,T_DAMC-1,CCGT,T_DAMC,VPI Power Limited,820.0,838,131.27777777777777,650.15,781.4277777777777,1.5417642210121096,0.25901226773296854,1.2827519532791414,Offer,0.8320026731694833
7,E_SHOS-1,CCGT,E_SHOS,VPI Power Limited,460.0,896,557.536507936508,219.11666666666667,776.6531746031746,1.5323438848614448,1.1000246782742247,0.4323192065872202,Bid,0.717870635398326
8,T_COSO-1,CCGT,T_COSO,Coryton Energy Company Ltd,856.186,807,101.75,652.9833333333333,754.7333333333333,1.4890958356351773,0.200753689527267,1.2883421461079105,Offer,0.8651841710096281
9,T_SHBA-1,CCGT,T_SHBA,EP UK INVESTMENTS LIMITED,821.4,801,279.04007936507935,454.1166666666667,733.156746031746,1.4465250296577736,0.5505486531549983,0.8959763765027753,Offer,0.6193991518520423
10,T_WBURB-2,CCGT,T_WBURB_CC,West Burton B Limited,470.0,1068,523.3808913308914,179.36666666666667,702.747557997558,1.3865274208775118,1.0326353313291994,0.3538920895483124,Bid,0.7447637282756805
11,T_CRUA-1,PS,T_CRUA,Drax Pumped Storage Limited,123.0,775,125.84597069597069,549.6825757575757,675.5285464535464,1.332824059769447,0.2482952622049773,1.0845287975644695,Offer,0.8137073979232281
12,T_WBURB-1,CCGT,T_WBURB_CC,West Burton B Limited,470.0,1059,399.27335164835165,267.78333333333336,667.0566849816851,1.3161089988589794,0.7877700095658426,0.5283389892931366,Bid,0.5985598535142695
13,T_DINO-2,PS,T_DINO,First Hydro Company,320.0,685,115.77619047619048,531.6595238095238,647.4357142857142,1.2773966425020011,0.22842749285019034,1.0489691496518108,Offer,0.8211773185791567
14,T_KEAD-2,CCGT,T_KEAD,Keadby Generation Limited,890.0,730,497.95714285714286,146.58333333333334,644.5404761904762,1.2716843110063851,0.9824740408356539,0.2892102701707311,Bid,0.7725769928372743
15,T_DINO-1,PS,T_DINO,First Hydro Company,320.0,683,99.45,543.3705128205128,642.8205128205128,1.2682908073958503,0.1962157682897956,1.0720750391060547,Offer,0.8452911846828879
16,T_DINO-3,PS,T_DINO,First Hydro Company,320.0,709,226.897557997558,415.6595238095238,642.5570818070819,1.2677710555739126,0.44767097702935443,0.8201000785445581,Offer,0.6468834218440991
17,T_CARR-1,CCGT,T_CARR,Carrington Power Ltd,470.0,726,269.68333333333334,366.64444444444445,636.3277777777778,1.2554805812046756,0.5320877068371347,0.723392874367541,Offer,0.576188023293376
18,T_SPLN-1,CCGT,T_SPLN,Spalding Energy Company Ltd,950.0,704,308.6388999889,294.7492424242424,603.3881424131424,1.190490376476092,0.6089473995519297,0.5815429769241623,Bid,0.5115097203510732
19,T_CARR-2,CCGT,T_CARR,Carrington Power Ltd,470.0,675,279.30119047619047,313.95,593.2511904761905,1.1704900767030828,0.5510638277882378,0.6194262489148449,Offer,0.5292024778711338
20,T_GRAI-7,CCGT,T_GRAI,Uniper UK Limited,468.0,1061,422.71187978687976,153.95,576.6618797868798,1.137759213532633,0.8340144420071023,0.3037447715255307,Bid,0.7330324659974122
21,T_DRAXX-2,BIOMASS,T_DRAXX,Drax Power Ltd,669.4,863,447.699975024975,126.41666666666667,574.1166416916417,1.1327374352688062,0.8833161846440198,0.2494212506247863,Bid,0.7798066499271326
22,T_DINO-4,PS,T_DINO,First Hydro Company,320.0,621,184.3761904761905,387.8095238095238,572.1857142857143,1.1289276976673395,0.36377592628085886,0.7651517713864806,Offer,0.6777686232408725
23,T_DRAXX-3,BIOMASS,T_DRAXX,Drax Power Ltd,661.4,829,455.3571178821179,90.16666666666667,545.5237845487845,1.076323464108564,0.8984237982047942,0.1778996659037698,Bid,0.8347154253938798
24,T_ROCK-1,CCGT,T_ROCK,Rocksavage Power Company Ltd,810.0,568,140.39358974358976,384.3333333333333,524.7269230769231,1.0352910643929505,0.2769978489140355,0.758293215478915,Offer,0.7324444705060263
25,T_GRAI-6,CCGT,T_GRAI,Uniper UK Limited,468.0,973,378.88658008658007,143.83333333333334,522.7199134199134,1.0313312158075791,0.747546721029477,0.28378449477810225,Bid,0.7248367057755679
26,T_CDCL-1,CCGT,T_CDCL,Uniper UK Limited,445.0,822,381.1198162948163,134.1,515.2198162948163,1.0165334549262415,0.7519529166893227,0.26458053823691896,Bid,0.7397227440427757
27,T_DRAXX-1,BIOMASS,T_DRAXX,Drax Power Ltd,665.248,519,443.9166666666667,37.5,481.4166666666667,0.9498395285823272,0.8758516823192067,0.07398784626312051,Bid,0.9221048987363684
28,T_SHBA-2,CCGT,T_SHBA,EP UK INVESTMENTS LIMITED,580.0,493,142.91785714285714,316.6666666666667,459.58452380952383,0.9067645091340932,0.28197825180107555,0.6247862573330176,Offer,0.6890281335885673
29,T_SEAB-2,CCGT,T_SEAB,Seabank Power Limited,406.0,453,160.27777777777777,265.25,425.52777777777777,0.8395702347442541,0.3162295355097817,0.5233406992344725,Offer,0.6233435602846139
