predictor,source_column,feature,side,mean_abs_shap,conditional_mean_shap_when_active,conditional_mean_abs_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,active_weight_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank,weighted_test_r2,weighted_test_mae,weighted_test_rmse,unweighted_test_r2,unweighted_test_mae,unweighted_test_rmse,holdout_cutoff,entity_id,identity_name,bmu_id,plant_family,technology,lead_party,technology_key,bid_weight,offer_weight,marginal_occurrences,plant_family_frequency,lead_party_frequency,registered_capacity_mw,marginal_side_share_pct,bmu_side_rank,panel
BMU ID,marginal_bmu_id,T_DRAXX-1_BID,BID,0.654445070845824,-36.228369110487286,36.228369110487286,0.0,1.0,17,17.0,0.0633970667012474,0.1390227409923853,82.36037528752148,3,1,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DRAXX-1,T_DRAXX-1,T_DRAXX-1,T_DRAXX,BIOMASS,Drax Power Ltd,BIOMASS,443.9166666666667,37.5,519,T_DRAXX,Drax Power Ltd,665.248,1.644927804745495,1,A
BMU ID,marginal_bmu_id,T_PNYCW-1_BID,BID,0.348806966150448,-37.69970751813781,37.69970751813781,0.0,1.0,9,9.0,0.038796169870615,0.1390227409923853,82.36037528752148,9,2,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_PNYCW-1,PNYCW-1 Export,T_PNYCW-1,T_PNYCW,WIND,Pen y Cymoedd Wind Farm LTD,WIND,220.5,0.0,222,T_PNYCW,Pen y Cymoedd Wind Farm LTD,228.0,0.8170600659576833,2,A
BMU ID,marginal_bmu_id,T_HUMR-1_BID,BID,0.339882141066546,-12.264267388918116,12.264267388918116,0.0,1.0,22,20.666666666666668,0.0178522686133779,0.1390227409923853,82.36037528752148,10,3,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_HUMR-1,HUMR-1,T_HUMR-1,T_HUMR_CC,CCGT,VPI Immingham LLP,CCGT,808.1666666666666,589.5,1441,T_HUMR_CC,VPI Immingham LLP,1283.0,2.9946517459023476,3,A
BMU ID,marginal_bmu_id,T_CLDCW-1_BID,BID,0.2710139713795624,-34.81263359322894,34.81263359322894,0.0,1.0,9,9.0,0.0241820526065889,0.1390227409923853,82.36037528752148,13,4,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CLDCW-1,Clyde Central,T_CLDCW-1,T_CLDCW,WIND,Clyde Windfarm (Scotland) Ltd,WIND,149.0,0.5,150,T_CLDCW,Clyde Windfarm (Scotland) Ltd,200.0,0.5521176862934005,4,A
BMU ID,marginal_bmu_id,T_DRAXX-2_BID,BID,0.2444256840835897,-14.640476138709028,14.640476138709028,0.0,1.0,22,14.25,0.0156290804339361,0.1390227409923853,82.36037528752148,15,5,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DRAXX-2,T_DRAXX-2,T_DRAXX-2,T_DRAXX,BIOMASS,Drax Power Ltd,BIOMASS,447.699975024975,126.41666666666667,863,T_DRAXX,Drax Power Ltd,669.4,1.658946807814781,5,A
BMU ID,marginal_bmu_id,T_DRAXX-3_BID,BID,0.2424091600927633,-13.042375992515012,13.042375992515012,0.0,1.0,27,17.333333333333332,0.0130863829361848,0.1390227409923853,82.36037528752148,16,6,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DRAXX-3,T_DRAXX-3,T_DRAXX-3,T_DRAXX,BIOMASS,Drax Power Ltd,BIOMASS,455.3571178821179,90.16666666666667,829,T_DRAXX,Drax Power Ltd,661.4,1.687320257465142,6,A
BMU ID,marginal_bmu_id,T_HOWBO-1_BID,BID,0.2193608017360294,-31.56064583206126,31.56064583206126,0.0,1.0,11,7.0,0.0242779563169845,0.1390227409923853,82.36037528752148,18,7,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_HOWBO-1,HORNSEA_WF_2A,T_HOWBO-1,T_HOWBO,WIND,Breesea Limited,WIND,158.5,2.4,258,T_HOWBO,Breesea Limited,440.0,0.5873198206543891,7,A
BMU ID,marginal_bmu_id,T_TKNWW-1_BID,BID,0.1474658955392265,-29.8660706651017,29.8660706651017,0.0,1.0,9,5.5,0.0146008358418397,0.1390227409923853,82.36037528752148,26,8,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_TKNWW-1,Triton Knoll OSP west 1,T_TKNWW-1,T_TKNWW,WIND,Triton Knoll Offshore Wind,WIND,100.5,4.5,173,T_TKNWW,Triton Knoll Offshore Wind,412.0,0.3724015266609849,8,A
BMU ID,marginal_bmu_id,T_RCBKO-1_BID,BID,0.1437205617334217,-27.143742097407927,27.143742097407927,0.0,1.0,8,5.5,0.0155035405885525,0.1390227409923853,82.36037528752148,28,9,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_RCBKO-1,RACE_BANK_Z01,T_RCBKO-1,T_RCBKO,WIND,Race Bank Wind Farm Ltd,WIND,119.5,0.0,160,T_RCBKO,Race Bank Wind Farm Ltd,284.0,0.44280579538296216,9,A
BMU ID,marginal_bmu_id,T_CLDSW-1_BID,BID,0.1258218676898328,-25.68402168386421,25.68402168386421,0.0,1.0,6,6.0,0.0109741928195658,0.1390227409923853,82.36037528752148,33,10,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CLDSW-1,Clyde South,T_CLDSW-1,T_CLDSW,WIND,Clyde Windfarm (Scotland) Ltd,WIND,83.0,0.0,83,T_CLDSW,Clyde Windfarm (Scotland) Ltd,150.0,0.3075554896802164,10,A
BMU ID,marginal_bmu_id,T_RYHPS-1_OFFER,OFFER,0.7453167149087673,57.07649058097317,57.07649058097317,1.0,0.0,11,10.5,0.1291359475052776,0.1390227409923853,82.36037528752148,1,1,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_RYHPS-1,T_RYHPS-1,T_RYHPS-1,T_RYHPS,CCGT,VPI Power Limited,CCGT,15.0,369.53333333333336,409,T_RYHPS,VPI Power Limited,720.98,1.5594097705757413,1,B
BMU ID,marginal_bmu_id,T_COSO-1_OFFER,OFFER,0.6819095733818111,23.175455306498176,23.175455306498176,1.0,0.0,31,31.0,0.0428192010089806,0.1390227409923853,82.36037528752148,2,2,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_COSO-1,Coryton Power Station,T_COSO-1,T_COSO,CCGT,Coryton Energy Company Ltd,CCGT,101.75,652.9833333333333,807,T_COSO,Coryton Energy Company Ltd,856.186,2.755552742259921,2,B
BMU ID,marginal_bmu_id,T_SEAB-1_OFFER,OFFER,0.5527896313024572,17.98911870236082,17.98911870236082,1.0,0.0,29,28.333333333333336,0.0297198822581751,0.1390227409923853,82.36037528752148,4,3,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SEAB-1,Seabank Power Module,T_SEAB-1,T_SEAB,CCGT,Seabank Power Limited,CCGT,310.34166666666664,793.5364468864469,1180,T_SEAB,Seabank Power Limited,830.0,3.3486789335630966,3,B
