predictor,source_column,feature,side,mean_abs_shap,conditional_mean_shap_when_active,conditional_mean_abs_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,active_weight_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank,weighted_test_r2,weighted_test_mae,weighted_test_rmse,unweighted_test_r2,unweighted_test_mae,unweighted_test_rmse,holdout_cutoff,entity_id,identity_name,bmu_id,plant_family,technology,lead_party,technology_key,bid_weight,offer_weight,marginal_occurrences,registered_capacity_mw,plant_family_frequency,lead_party_frequency,marginal_side_share_pct,frequency_percentile,importance_percentile,frequency_q75,importance_q75,quadrant,label_reason
BMU ID,marginal_bmu_id,T_RYHPS-1_OFFER,OFFER,0.7453167149087673,57.07649058097317,57.07649058097317,1.0,0.0,11,10.5,0.1291359475052776,0.1390227409923853,82.36037528752148,1,1,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_RYHPS-1,T_RYHPS-1,T_RYHPS-1,T_RYHPS,CCGT,VPI Power Limited,CCGT,15.0,369.53333333333336,409,720.98,T_RYHPS,VPI Power Limited,1.5594097705757413,0.8461538461538461,1.0,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",Leading global importance
BMU ID,marginal_bmu_id,T_COSO-1_OFFER,OFFER,0.6819095733818111,23.175455306498176,23.175455306498176,1.0,0.0,31,31.0,0.0428192010089806,0.1390227409923853,82.36037528752148,2,2,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_COSO-1,Coryton Power Station,T_COSO-1,T_COSO,CCGT,Coryton Energy Company Ltd,CCGT,101.75,652.9833333333333,807,856.186,T_COSO,Coryton Energy Company Ltd,2.755552742259921,0.9871794871794872,0.9871794871794872,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",Leading global importance
BMU ID,marginal_bmu_id,T_SEAB-1_OFFER,OFFER,0.5527896313024572,17.98911870236082,17.98911870236082,1.0,0.0,29,28.333333333333336,0.0297198822581751,0.1390227409923853,82.36037528752148,4,3,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SEAB-1,Seabank Power Module,T_SEAB-1,T_SEAB,CCGT,Seabank Power Limited,CCGT,310.34166666666664,793.5364468864469,1180,830.0,T_SEAB,Seabank Power Limited,3.3486789335630966,1.0,0.9743589743589743,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",Leading global importance
BMU ID,marginal_bmu_id,T_DINO-2_OFFER,OFFER,0.5276027080594067,24.510164889059645,24.510164889059645,1.0,0.0,21,20.5,0.0485127362080954,0.1390227409923853,82.36037528752148,5,4,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-2,Dinorwig 2,T_DINO-2,T_DINO,PS,First Hydro Company,PS,115.77619047619048,531.6595238095238,685,320.0,T_DINO,First Hydro Company,2.243573126596294,0.9230769230769231,0.9615384615384616,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_HUMR-1_OFFER,OFFER,0.4850302511858848,19.203225774690942,19.203225774690942,1.0,0.0,27,25.5,0.0269772836385931,0.1390227409923853,82.36037528752148,6,5,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_HUMR-1,HUMR-1,T_HUMR-1,T_HUMR_CC,CCGT,VPI Immingham LLP,CCGT,808.1666666666666,589.5,1441,1283.0,T_HUMR_CC,VPI Immingham LLP,2.487656665400684,0.9615384615384616,0.9487179487179487,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_DAMC-1_OFFER,OFFER,0.4680404423500507,20.176451525228167,20.176451525228167,1.0,0.0,21,19.33333333333333,0.0316632574995655,0.1390227409923853,82.36037528752148,7,6,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DAMC-1,Damhead Creek Ltd.,T_DAMC-1,T_DAMC,CCGT,VPI Power Limited,CCGT,131.27777777777777,650.15,838,820.0,T_DAMC,VPI Power Limited,2.7435962358104407,0.9743589743589743,0.9358974358974359,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_CRUA-1_OFFER,OFFER,0.4013014512674345,21.107617606819662,21.107617606819662,1.0,0.0,15,15.0,0.0327595001879057,0.1390227409923853,82.36037528752148,8,7,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CRUA-1,T_CRUA-1,T_CRUA-1,T_CRUA,PS,Drax Pumped Storage Limited,PS,125.84597069597069,549.6825757575757,775,123.0,T_CRUA,Drax Pumped Storage Limited,2.3196293866631885,0.9487179487179487,0.9230769230769231,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_CNQPS-1_OFFER,OFFER,0.3143627433340365,36.332625706450486,36.332625706450486,1.0,0.0,10,9.0,0.0319237279806976,0.1390227409923853,82.36037528752148,11,8,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CNQPS-1,T_CNQPS-1,T_CNQPS-1,T_CNQPS,CCGT,Uniper UK Limited,CCGT,67.64682539682539,193.75,333,351.162,T_CNQPS,Uniper UK Limited,0.8176140439718109,0.6153846153846154,0.9102564102564102,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_DINO-3_OFFER,OFFER,0.3138982794502192,17.881786571854388,17.881786571854388,1.0,0.0,18,17.5,0.0188373837983668,0.1390227409923853,82.36037528752148,12,9,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-3,Dinorwig 3,T_DINO-3,T_DINO,PS,First Hydro Company,PS,226.897557997558,415.6595238095238,709,320.0,T_DINO,First Hydro Company,1.7540596860763973,0.8846153846153846,0.8974358974358975,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_DINO-5_OFFER,OFFER,0.2673689155352701,25.5577429436958,25.5577429436958,1.0,0.0,12,12.0,0.0200176140734737,0.1390227409923853,82.36037528752148,14,10,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-5,Dinorwig 5,T_DINO-5,T_DINO,PS,First Hydro Company,PS,97.86666666666666,206.0,330,320.0,T_DINO,First Hydro Company,0.8693083512680931,0.6282051282051282,0.8846153846153846,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_CNQPS-2_OFFER,OFFER,0.2310051357525051,24.242024336056414,24.242024336056414,1.0,0.0,10,8.333333333333332,0.0207380949061244,0.1390227409923853,82.36037528752148,17,11,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CNQPS-2,T_CNQPS-2,T_CNQPS-2,T_CNQPS,CCGT,Uniper UK Limited,CCGT,99.67420634920634,257.34285714285716,430,352.0,T_CNQPS,Uniper UK Limited,1.085972305113969,0.717948717948718,0.8717948717948718,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_DINO-4_OFFER,OFFER,0.2158535478253868,13.24035757174099,13.24035757174099,1.0,0.0,17,16.0,0.0116801948828254,0.1390227409923853,82.36037528752148,19,12,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-4,Dinorwig 4,T_DINO-4,T_DINO,PS,First Hydro Company,PS,184.3761904761905,387.8095238095238,621,320.0,T_DINO,First Hydro Company,1.6365342609170945,0.8717948717948718,0.8589743589743589,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_ROCK-1_OFFER,OFFER,0.1994621360732888,13.614153079705453,13.614153079705453,1.0,0.0,15,13.0,0.0119388988436153,0.1390227409923853,82.36037528752148,20,13,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_ROCK-1,Rocksavage Power Station,T_ROCK-1,T_ROCK,CCGT,Rocksavage Power Company Ltd,CCGT,140.39358974358976,384.3333333333333,568,810.0,T_ROCK,Rocksavage Power Company Ltd,1.6218649336765554,0.8589743589743589,0.8461538461538461,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_SHBA-1_OFFER,OFFER,0.1933768867614429,12.403513902353756,12.403513902353756,1.0,0.0,14,12.333333333333332,0.0131337701825452,0.1390227409923853,82.36037528752148,21,14,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SHBA-1,SOUTH HUMBER BANK P/S PHASE 1,T_SHBA-1,T_SHBA,CCGT,EP UK INVESTMENTS LIMITED,CCGT,279.04007936507935,454.1166666666667,801,821.4,T_SHBA,EP UK INVESTMENTS LIMITED,1.916346654288166,0.9102564102564102,0.8333333333333334,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_DINO-6_OFFER,OFFER,0.1671257737192718,15.746865728509183,15.746865728509183,1.0,0.0,10,10.0,0.0118804222118645,0.1390227409923853,82.36037528752148,22,15,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-6,Dinorwig 6,T_DINO-6,T_DINO,PS,First Hydro Company,PS,133.11904761904762,266.3333333333333,448,320.0,T_DINO,First Hydro Company,1.123911606251143,0.7435897435897436,0.8205128205128205,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_SHBA-2_OFFER,OFFER,0.1578498515199507,10.915995105987156,10.915995105987156,1.0,0.0,16,15.333333333333332,0.008286542026711,0.1390227409923853,82.36037528752148,23,16,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SHBA-2,SOUTH HUMBER BANK P/S PHASE 2,T_SHBA-2,T_SHBA,CCGT,EP UK INVESTMENTS LIMITED,CCGT,142.91785714285714,316.6666666666667,493,580.0,T_SHBA,EP UK INVESTMENTS LIMITED,1.3363154267066157,0.8076923076923077,0.8076923076923077,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_FFES-1_OFFER,OFFER,0.1564645125628606,9.69365629581849,9.69365629581849,1.0,0.0,19,18.5,0.0067032003186047,0.1390227409923853,82.36037528752148,24,17,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_FFES-1,Ffestioniog 1,T_FFES-1,T_FFES,PS,First Hydro Company,PS,42.92063492063492,316.75,391,91.033,T_FFES,First Hydro Company,1.3366670886610121,0.8205128205128205,0.7948717948717948,1.128500794756017,0.13377147748980542,"Higher frequency, higher attribution",
BMU ID,marginal_bmu_id,T_SEAB-2_OFFER,OFFER,0.1536579705410596,16.888753880916937,16.888753880916937,1.0,0.0,7,7.0,0.0126010485197385,0.1390227409923853,82.36037528752148,25,18,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SEAB-2,Seabank Power Module 2,T_SEAB-2,T_SEAB,CCGT,Seabank Power Limited,CCGT,160.27777777777777,265.25,453,406.0,T_SEAB,Seabank Power Limited,1.1193400008439889,0.7307692307692307,0.782051282051282,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_FFES-3_OFFER,OFFER,0.1472500163695725,41.89739352330872,41.89739352330872,1.0,0.0,5,5.0,0.0118522186464059,0.1390227409923853,82.36037528752148,27,19,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_FFES-3,Ffestioniog 3,T_FFES-3,T_FFES,PS,First Hydro Company,PS,0.0,42.5,44,90.0,T_FFES,First Hydro Company,0.17934759674220369,0.10256410256410256,0.7692307692307693,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",Less frequent but intense
BMU ID,marginal_bmu_id,T_CNQPS-3_OFFER,OFFER,0.1338990492008367,14.468805435441586,14.468805435441586,1.0,0.0,9,8.5,0.0097912953228148,0.1390227409923853,82.36037528752148,29,20,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CNQPS-3,T_CNQPS-3,T_CNQPS-3,T_CNQPS,CCGT,Uniper UK Limited,CCGT,64.33928571428571,236.68333333333334,380,352.0,T_CNQPS,Uniper UK Limited,0.9987902828768762,0.6794871794871795,0.7564102564102564,1.128500794756017,0.13377147748980542,"Lower frequency, higher attribution",
BMU ID,marginal_bmu_id,T_FOYE-1_OFFER,OFFER,0.1333887623567116,14.885676349424529,14.885676349424529,1.0,0.0,8,8.0,0.010242072384494,0.1390227409923853,82.36037528752148,30,21,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_FOYE-1,Foyers G1,T_FOYE-1,T_FOYE,PS,SSE Generation Ltd,PS,102.15,230.8373015873016,358,160.0,T_FOYE,SSE Generation Ltd,0.9741203594855957,0.6666666666666666,0.7435897435897436,1.128500794756017,0.13377147748980542,"Lower frequency, lower attribution",
BMU ID,marginal_bmu_id,T_CNQPS-4_OFFER,OFFER,0.1280450649193558,11.560972796986304,11.560972796986304,1.0,0.0,14,11.833333333333334,0.0072651122872407,0.1390227409923853,82.36037528752148,31,22,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CNQPS-4,T_CNQPS-4,T_CNQPS-4,T_CNQPS,CCGT,Uniper UK Limited,CCGT,50.103968253968254,243.66666666666666,342,352.0,T_CNQPS,Uniper UK Limited,1.028259554655301,0.6923076923076923,0.7307692307692307,1.128500794756017,0.13377147748980542,"Lower frequency, lower attribution",
BMU ID,marginal_bmu_id,T_FOYE-2_OFFER,OFFER,0.1268568842045628,15.730581154667377,15.730581154667377,1.0,0.0,8,8.0,0.0089769179343105,0.1390227409923853,82.36037528752148,32,23,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_FOYE-2,Foyers G2,T_FOYE-2,T_FOYE,PS,SSE Generation Ltd,PS,108.25,185.54166666666666,311,160.0,T_FOYE,SSE Generation Ltd,0.7829753414637577,0.6025641025641025,0.717948717948718,1.128500794756017,0.13377147748980542,"Lower frequency, lower attribution",
BMU ID,marginal_bmu_id,T_CRUA-4_OFFER,OFFER,0.1214687986477151,17.292013166957478,17.292013166957478,1.0,0.0,8,7.5,0.0090382791515942,0.1390227409923853,82.36037528752148,34,24,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CRUA-4,T_CRUA-4,T_CRUA-4,T_CRUA,PS,Drax Pumped Storage Limited,PS,70.4968253968254,152.13333333333333,275,104.0,T_CRUA,Drax Pumped Storage Limited,0.6419940639462098,0.5256410256410257,0.7051282051282052,1.128500794756017,0.13377147748980542,"Lower frequency, lower attribution",
BMU ID,marginal_bmu_id,T_CARR-1_OFFER,OFFER,0.1167152417706766,7.022274768925446,7.022274768925446,1.0,0.0,18,17.5,0.0049064877461655,0.1390227409923853,82.36037528752148,35,25,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CARR-1,Carrington Power Ltd - Unit 1,T_CARR-1,T_CARR,CCGT,Carrington Power Ltd,CCGT,269.68333333333334,366.64444444444445,726,470.0,T_CARR,Carrington Power Ltd,1.54721882282333,0.8333333333333334,0.6923076923076923,1.128500794756017,0.13377147748980542,"Higher frequency, lower attribution",
BMU ID,marginal_bmu_id,T_SPLN-1_OFFER,OFFER,0.1132996482377779,9.477685446827763,9.477685446827763,1.0,0.0,13,11.333333333333332,0.0065474581221009,0.1390227409923853,82.36037528752148,37,26,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SPLN-1,Spalding Power Station,T_SPLN-1,T_SPLN,CCGT,Spalding Energy Company Ltd,CCGT,308.6388999889,294.7492424242424,704,950.0,T_SPLN,Spalding Energy Company Ltd,1.243825135773484,0.782051282051282,0.6794871794871795,1.128500794756017,0.13377147748980542,"Higher frequency, lower attribution",
