predictor,source_column,feature,side,mean_abs_shap,conditional_mean_shap_when_active,conditional_mean_abs_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,active_weight_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank,weighted_test_r2,weighted_test_mae,weighted_test_rmse,unweighted_test_r2,unweighted_test_mae,unweighted_test_rmse,holdout_cutoff,entity_id,identity_name,bmu_id,plant_family,technology,lead_party,global_rank,panel,resolution,technology_key,display_label
Generation type,marginal_fuel_type,CCGT_OFFER,OFFER,12.70898730781243,26.42563492531241,26.42563492531241,1.0,0.0,1722,1563.5916666666667,0.2386391022909469,0.3672761722108705,82.35669360361806,1,1,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,CCGT,CCGT,—,—,CCGT,—,1,A,Technology,CCGT,CCGT · offer
Generation type,marginal_fuel_type,WIND_BID,BID,8.321242535538543,-56.78427240252166,56.78427240252166,0.0,1.0,693,486.6833333333333,0.2557682223845778,0.3672761722108705,82.35669360361806,2,1,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,WIND,WIND,—,—,WIND,—,2,A,Technology,WIND,Wind · bid
Generation type,marginal_fuel_type,PS_OFFER,OFFER,6.152639766963642,31.76669078526191,31.76669078526191,1.0,0.0,638,612.2928571428572,0.1228139698536766,0.3672761722108705,82.35669360361806,3,2,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,PS,PS,—,—,PS,—,3,A,Technology,PS,Pumped storage · offer
Generation type,marginal_fuel_type,CCGT_BID,BID,5.441972669623689,-10.584836789676531,10.584836789676531,0.0,1.0,2579,1755.9491452991451,0.0582460293478775,0.3672761722108705,82.35669360361806,4,2,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,CCGT,CCGT,—,—,CCGT,—,4,A,Technology,CCGT,CCGT · bid
Generation type,marginal_fuel_type,BATTERY_BID,BID,4.148694462924343,-19.50096233129077,19.50096233129077,0.0,1.0,933,703.3518759018759,0.0604118428675448,0.3672761722108705,82.35669360361806,5,3,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,BATTERY,BATTERY,—,—,BATTERY,—,5,A,Technology,BATTERY,Battery · bid
Generation type,marginal_fuel_type,BATTERY_OFFER,OFFER,3.2729541517457115,17.325506861903033,17.325506861903033,1.0,0.0,765,588.3031588294746,0.0463714135569786,0.3672761722108705,82.35669360361806,6,3,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,BATTERY,BATTERY,—,—,BATTERY,—,6,A,Technology,BATTERY,Battery · offer
Generation type,marginal_fuel_type,BIOMASS_BID,BID,2.3242555496054447,-30.44187486488102,30.44187486488102,0.0,1.0,340,241.2996753246753,0.0458650212639052,0.3672761722108705,82.35669360361806,7,4,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,BIOMASS,BIOMASS,—,—,BIOMASS,—,7,A,Technology,BIOMASS,Biomass · bid
Generation type,marginal_fuel_type,OTHER_BID,BID,1.355677920247321,-15.60314678220968,15.60314678220968,0.0,1.0,385,265.1266455766456,0.0212893635826016,0.3672761722108705,82.35669360361806,8,5,0.5087312928596828,20.16447544881076,29.181522201315317,0.5046488901873369,20.4178008292858,29.30251938051702,2025-05-26 SP14,OTHER,OTHER,—,—,OTHER,—,8,A,Technology,OTHER,Other · bid
Family ID,marginal_family_id,T_DINO_OFFER,OFFER,2.4604810058851503,27.796844995670497,27.796844995670497,1.0,0.0,157,152.91666666666666,0.1173168221787053,0.1887719861180565,82.36037528752183,1,1,0.1493953021971908,27.59139327851204,38.39832500331034,0.1601607083120586,27.45217064343264,38.15456321879331,2025-05-26 SP14,T_DINO,T_DINO,"T_DINO-1, T_DINO-2, T_DINO-3, T_DINO-4, T_DINO-5, T_DINO-6",T_DINO,PS,First Hydro Company,1,B,Plant family,PS,T_DINO · offer
Family ID,marginal_family_id,T_DRAXX_BID,BID,1.678007122881359,-24.771027857978225,24.771027857978225,0.0,1.0,180,123.29999999999998,0.0778077813368127,0.1887719861180565,82.36037528752183,2,1,0.1493953021971908,27.59139327851204,38.39832500331034,0.1601607083120586,27.45217064343264,38.15456321879331,2025-05-26 SP14,T_DRAXX,T_DRAXX,"T_DRAXX-1, T_DRAXX-2, T_DRAXX-3, T_DRAXX-4",T_DRAXX,BIOMASS,Drax Power Ltd,2,B,Plant family,BIOMASS,T_DRAXX · bid
