threshold_basis,tail_fraction,quantile,year,side,system_price_threshold_gbp_mwh,n_side_periods,n_tail_periods,technology,overall_marginal_share,tail_share,tail_representation_ratio
pooled_side,0.05,0.05,2023,bid,-17.975999999999985,8920,513,BATTERY,0.043044585894922216,0.008447043534762833,0.1962393959459439
pooled_side,0.05,0.05,2023,bid,-17.975999999999985,8920,513,CCGT,0.5571558029041214,0.037037037037037035,0.06647518852713194
pooled_side,0.05,0.05,2023,bid,-17.975999999999985,8920,513,PS,0.07762731538516292,0.029239766081871343,0.3766685210842678
pooled_side,0.05,0.95,2023,offer,190.0,8127,1114,BATTERY,0.06361304894410916,0.04159382972692053,0.6538568802678385
pooled_side,0.05,0.95,2023,offer,190.0,8127,1114,CCGT,0.5210249514236225,0.5029174147217235,0.9652463156468363
pooled_side,0.05,0.95,2023,offer,190.0,8127,1114,PS,0.26618199964453193,0.3357271095152603,1.2612690188051827
pooled_side,0.05,0.05,2024,bid,-17.975999999999985,8869,602,BATTERY,0.15356885397335276,0.06852159468438539,0.4461946085517786
pooled_side,0.05,0.05,2024,bid,-17.975999999999985,8869,602,CCGT,0.40870720965432883,0.006644518272425249,0.016257404115882775
pooled_side,0.05,0.05,2024,bid,-17.975999999999985,8869,602,PS,0.06532506421304482,0.02574750830564784,0.3941444010170035
pooled_side,0.05,0.95,2024,offer,190.0,7902,38,BATTERY,0.1835067360646328,0.09210526315789473,0.5019176142147413
pooled_side,0.05,0.95,2024,offer,190.0,7902,38,CCGT,0.4307225863509083,0.18421052631578946,0.4276778886299539
pooled_side,0.05,0.95,2024,offer,190.0,7902,38,PS,0.18515755420652916,0.07894736842105263,0.42637940838747984
pooled_side,0.05,0.05,2025,bid,-17.975999999999985,9198,235,BATTERY,0.3045281582952816,0.16808510638297872,0.5519525922459928
pooled_side,0.05,0.05,2025,bid,-17.975999999999985,9198,235,CCGT,0.349384830035515,0.0,0.0
pooled_side,0.05,0.05,2025,bid,-17.975999999999985,9198,235,PS,0.03492788287308835,0.029787234042553193,0.8528210584874588
pooled_side,0.05,0.95,2025,offer,190.0,7668,82,BATTERY,0.2786594567404426,0.06097560975609756,0.21881765818876658
pooled_side,0.05,0.95,2025,offer,190.0,7668,82,CCGT,0.42924543143635474,0.5975609756097561,1.392119593702322
pooled_side,0.05,0.95,2025,offer,190.0,7668,82,PS,0.09804071341630027,0.11280487804878049,1.1505921786777362
pooled_side,0.1,0.1,2023,bid,-3.0,8920,783,BATTERY,0.043044585894922216,0.010004257130693911,0.23241615461502374
pooled_side,0.1,0.1,2023,bid,-3.0,8920,783,CCGT,0.5571558029041214,0.02937420178799489,0.05272170124565637
pooled_side,0.1,0.1,2023,bid,-3.0,8920,783,PS,0.07762731538516292,0.019157088122605363,0.2467828241586582
pooled_side,0.1,0.9,2023,offer,165.999988,8127,2101,BATTERY,0.06361304894410916,0.04116806500696378,0.6471638396570853
pooled_side,0.1,0.9,2023,offer,165.999988,8127,2101,CCGT,0.5210249514236225,0.5132873234967475,0.985149218083063
pooled_side,0.1,0.9,2023,offer,165.999988,8127,2101,PS,0.26618199964453193,0.32619387593209587,1.225454299568362
pooled_side,0.1,0.1,2024,bid,-3.0,8869,951,BATTERY,0.15356885397335276,0.10543788493315308,0.6865837844400964
pooled_side,0.1,0.1,2024,bid,-3.0,8869,951,CCGT,0.40870720965432883,0.023133543638275498,0.056601750817758
pooled_side,0.1,0.1,2024,bid,-3.0,8869,951,PS,0.06532506421304482,0.028916929547844375,0.4426620914376373
pooled_side,0.1,0.9,2024,offer,165.999988,7902,81,BATTERY,0.1835067360646328,0.05291005291005291,0.28832757883840016
pooled_side,0.1,0.9,2024,offer,165.999988,7902,81,CCGT,0.4307225863509083,0.3271604938271605,0.7595619644627224
pooled_side,0.1,0.9,2024,offer,165.999988,7902,81,PS,0.18515755420652916,0.11728395061728394,0.6334278453822231
pooled_side,0.1,0.1,2025,bid,-3.0,9198,967,BATTERY,0.3045281582952816,0.2478283350568769,0.8138109015737504
pooled_side,0.1,0.1,2025,bid,-3.0,9198,967,CCGT,0.349384830035515,0.005170630816959669,0.014799242475507806
pooled_side,0.1,0.1,2025,bid,-3.0,9198,967,PS,0.03492788287308835,0.022750775594622543,0.6513642890205587
pooled_side,0.1,0.9,2025,offer,165.999988,7668,188,BATTERY,0.2786594567404426,0.1276595744680851,0.45812037373988573
pooled_side,0.1,0.9,2025,offer,165.999988,7668,188,CCGT,0.42924543143635474,0.6117021276595744,1.4250638046692246
pooled_side,0.1,0.9,2025,offer,165.999988,7668,188,PS,0.09804071341630027,0.07579787234042554,0.7731264869378578
