year,side,outcome,n_identified_battery_unit_periods,n_identified_settlement_periods,tie_adjusted_weight,tie_adjusted_share,raw_unit_period_count,raw_unit_period_share
2023,bid,Battery action favourable,592,438,312.14166666666665,0.712652207001522,392,0.6621621621621622
2023,bid,No material difference,592,438,125.85833333333332,0.2873477929984779,200,0.33783783783783783
2023,bid,Replacement favourable,592,438,0.0,0.0,0,0.0
2024,bid,Battery action favourable,2067,1535,1071.7666666666667,0.6982193268186754,1291,0.6245766811804547
2024,bid,No material difference,2067,1535,463.23333333333335,0.3017806731813247,776,0.3754233188195452
2024,bid,Replacement favourable,2067,1535,0.0,0.0,0,0.0
2025,bid,Battery action favourable,3432,2903,2635.5,0.9078539441956597,3104,0.9044289044289044
2025,bid,No material difference,3432,2903,257.0,0.08852910781949708,315,0.09178321678321678
2025,bid,Replacement favourable,3432,2903,10.5,0.0036169479848432657,13,0.003787878787878788
2023,offer,Battery action favourable,926,577,382.29635854341734,0.662558680317881,513,0.5539956803455723
2023,offer,No material difference,926,577,194.70364145658263,0.33744131968211893,413,0.44600431965442766
2023,offer,Replacement favourable,926,577,0.0,0.0,0,0.0
2024,offer,Battery action favourable,2003,1588,1252.5826007326007,0.7887799752724186,1413,0.7054418372441338
2024,offer,No material difference,2003,1588,335.4173992673993,0.21122002472758142,590,0.2945581627558662
2024,offer,Replacement favourable,2003,1588,0.0,0.0,0,0.0
2025,offer,Battery action favourable,2448,2215,2051.166666666667,0.9260346124905946,2258,0.9223856209150327
2025,offer,No material difference,2448,2215,162.83333333333334,0.07351392024078254,189,0.07720588235294118
2025,offer,Replacement favourable,2448,2215,1.0,0.0004514672686230248,1,0.0004084967320261438
