side,replacement_marginal_bmu,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,lead_party,years_present,distinct_settlement_periods,tie_adjusted_share_within_side,tie_adjusted_rank_within_side
bid,2__HANGE003,LOAD RESPONSE,212,170.0,Limejump Energy Limited,"2023, 2024, 2025",171,0.034864643150123054,1
bid,T_PEHE-1,CCGT,238,141.125,SSE Thermal Generation,"2023, 2024, 2025",142,0.02894278096800656,2
bid,2__MCNDL001,OCGT,140,119.0,NEAS Energy Ltd.,"2023, 2024, 2025",119,0.024405250205086135,3
bid,T_SCCL-3,CCGT,147,119.0,SCCL,"2023, 2024, 2025",119,0.024405250205086135,4
bid,2__HIMPO002,LOAD RESPONSE,134,113.0,SSE Energy Supply Limited,"2024, 2025",113,0.02317473338802297,5
bid,T_LAGA-1,CCGT,186,111.0,EP UK INVESTMENTS LIMITED,"2023, 2024, 2025",111,0.02276456111566858,6
bid,E_ARNKB-1,LOAD RESPONSE,121,99.45833333333333,Octopus Energy Trading Limited,"2023, 2024, 2025",101,0.020397525293956793,7
bid,T_SCCL-1,CCGT,119,91.33333333333333,SCCL,"2023, 2024, 2025",92,0.01873120043751709,8
bid,T_SEAB-1,CCGT,102,89.5,Seabank Power Limited,"2023, 2024, 2025",91,0.0183552091878589,9
bid,T_KEAD-2,CCGT,118,86.33333333333333,Keadby Generation Limited,"2023, 2024, 2025",87,0.01770576975663112,10
bid,M_CAS-KIL01,NPSHYD,102,85.5,SSE Generation Ltd,"2024, 2025",87,0.017534864643150124,11
bid,2__GLOND001,LOAD RESPONSE,116,78.025,EDF Energy Customers Limited,"2023, 2024",89,0.016001845775225596,12
bid,T_CARR-1,CCGT,103,75.5,Carrington Power Ltd,"2023, 2024, 2025",76,0.015484003281378179,13
bid,T_SEAB-2,CCGT,87,74.66666666666667,Seabank Power Limited,"2023, 2024, 2025",76,0.015313098167897185,14
bid,2__GLOND002,LOAD RESPONSE,126,74.31666666666666,EDF Energy Customers Limited,"2023, 2024",83,0.015241318020235164,15
bid,T_SCCL-2,CCGT,88,74.0,SCCL,"2023, 2024, 2025",74,0.015176374077112387,16
bid,T_SHBA-1,CCGT,86,74.0,EP UK INVESTMENTS LIMITED,"2023, 2024, 2025",74,0.015176374077112387,17
bid,2__GLOND003,OCGT,63,56.833333333333336,EDF Energy Customers Limited,"2024, 2025",57,0.011655728739403884,18
bid,M_CAS-GAR01,NPSHYD,62,56.0,SSE Generation Ltd,"2024, 2025",56,0.011484823625922888,19
bid,2__MSTAT004,GAS,67,54.666666666666664,Statkraft Markets Gmbh,"2024, 2025",56,0.011211375444353295,20
bid,2__GANGE001,LOAD RESPONSE,65,54.0,Limejump Energy Limited,2025,54,0.011074651353568499,21
bid,E_RHEI-1,NPSHYD,66,53.5,Statkraft Markets Gmbh,"2024, 2025",54,0.010972108285479901,22
bid,E_SHOS-1,CCGT,63,51.0,VPI Power Limited,"2023, 2024, 2025",51,0.010459392945036915,23
bid,E_CLAC-1,NPSHYD,70,50.0,SSE Generation Ltd,"2023, 2024, 2025",50,0.010254306808859722,24
bid,T_HUMR-1,CCGT,69,50.0,VPI Immingham LLP,"2023, 2024, 2025",50,0.010254306808859722,25
bid,M_CAS-BEU01,NPSHYD,60,49.0,SSE Generation Ltd,"2024, 2025",49,0.010049220672682527,26
bid,T_KEAD-1,CCGT,62,48.2,Keadby Generation Limited,"2023, 2024, 2025",49,0.009885151763740772,27
bid,T_DINO-1,PS,54,47.0,First Hydro Company,"2024, 2025",47,0.009639048400328138,28
bid,T_FOYE-2,PS,56,47.0,SSE Generation Ltd,"2023, 2024, 2025",47,0.009639048400328138,29
bid,T_ROCK-1,CCGT,56,47.0,Rocksavage Power Company Ltd,"2023, 2024, 2025",47,0.009639048400328138,30
bid,2__BSTAT001,GAS,56,46.18055555555556,Statkraft Markets Gmbh,"2023, 2024, 2025",49,0.00947099170540516,31
bid,T_FOYE-1,PS,53,44.0,SSE Generation Ltd,"2023, 2024, 2025",44,0.009023789991796555,32
bid,2__BFLEX004,LOAD RESPONSE,49,43.0,Flexitricity Limited,"2024, 2025",43,0.00881870385561936,33
bid,T_KYPEW-1,WIND,51,42.0,Kype Extension Wind Farm Ltd,"2024, 2025",42,0.008613617719442166,34
bid,2__JUKPR001,OCGT,52,41.8,UK Power Reserve Limited,"2023, 2024, 2025",42,0.008572600492206726,35
bid,T_CARR-2,CCGT,48,40.0,Carrington Power Ltd,"2023, 2024, 2025",40,0.008203445447087777,36
bid,E_FASN-3,NPSHYD,41,39.0,SSE Generation Ltd,"2023, 2024, 2025",39,0.007998359310910582,37
bid,M_CAS-CON01,NPSHYD,52,38.333333333333336,SSE Generation Ltd,"2024, 2025",39,0.007861635220125786,38
bid,T_DRAXX-2,BIOMASS,44,38.0,Drax Power Ltd,"2023, 2024, 2025",38,0.007793273174733388,39
bid,T_MRWD-1,CCGT,48,37.0,Marchwood Power Limited,"2023, 2024, 2025",37,0.0075881870385561935,40
bid,T_CRUA-1,PS,44,36.0,Drax Pumped Storage Limited,"2024, 2025",36,0.007383100902378999,41
bid,T_DINO-3,PS,51,36.0,First Hydro Company,"2023, 2024, 2025",36,0.007383100902378999,42
bid,2__CMRCY001,LOAD RESPONSE,37,35.0,Octopus Energy Limited,"2023, 2024, 2025",36,0.007178014766201805,43
bid,T_DRAXX-4,BIOMASS,52,34.0,Drax Power Ltd,"2023, 2024, 2025",34,0.00697292863002461,44
bid,T_COSO-1,CCGT,44,32.72063492063492,Coryton Energy Company Ltd,"2023, 2024, 2025",35,0.0067105485891375966,45
bid,T_DIDCB5,CCGT,38,31.866666666666667,RWE Generation UK plc,"2023, 2024, 2025",33,0.006535411539513263,46
bid,E_BTUIW-3,WIND,33,31.0,SP Renewables (UK) Limited,"2023, 2024, 2025",31,0.006357670221493027,47
bid,T_FINL-1,NPSHYD,33,31.0,SSE Generation Ltd,"2023, 2024, 2025",31,0.006357670221493027,48
bid,T_KEADGT-3,OCGT,39,31.0,Keadby Generation Limited,"2023, 2024, 2025",31,0.006357670221493027,49
bid,M_CAS-MOR01,NPSHYD,38,30.0,SSE Generation Ltd,"2024, 2025",30,0.0061525840853158325,50
