side,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,tie_adjusted_share_within_side,raw_unit_period_share_within_side
bid,CCGT,2282,1748.9123015873015,0.35867766644530386,0.37465112461008043
bid,LOAD RESPONSE,1118,890.9,0.18271123872026251,0.18354949926120506
bid,NPSHYD,720,593.1738095238095,0.12165172467674518,0.11820719093744869
bid,WIND,497,417.0,0.08552091878589008,0.08159579707765556
bid,OCGT,468,387.96666666666664,0.0795665846322122,0.07683467410934165
bid,PS,428,351.5,0.07208777686628384,0.07026760794615006
bid,GAS,259,218.54722222222222,0.044821005377814235,0.04252175340666557
bid,BIOMASS,140,112.0,0.022969647251845776,0.02298473157117058
bid,DIESEL,70,64.0,0.013125512715340444,0.01149236578558529
bid,SOLAR,60,51.0,0.010459392945036915,0.009850599244787392
bid,COAL,49,41.0,0.008408531583264971,0.008044656049909702
offer,CCGT,2102,1721.1392156862746,0.3929541588324828,0.3909243072345174
offer,LOAD RESPONSE,827,675.373076923077,0.15419476642079383,0.15380323600520737
offer,PS,627,501.8904761904762,0.11458686671015438,0.1166077738515901
offer,DIESEL,467,405.8,0.09264840182648403,0.0868514041286963
offer,GAS,382,297.48889786683907,0.06791983969562536,0.07104333271340896
offer,OCGT,324,269.975,0.061638127853881286,0.06025664868885996
offer,NPSHYD,269,205.5,0.046917808219178084,0.05002789659661521
offer,BIOMASS,136,125.33333333333333,0.02861491628614916,0.025292914264459735
offer,WIND,153,112.5,0.025684931506849314,0.0284545285475172
offer,COAL,90,65.0,0.014840182648401826,0.016737957969127765
