predictor,source_column,feature,fuel_type,side,mean_abs_shap,conditional_mean_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank
BMU ID,marginal_bmu_id,T_RYHPS-1_OFFER,CCGT,OFFER,0.6806396900368641,55.75579495035423,1.0,0.0,25,0.11389535956096127,0.12628903778075173,80.29192900544797,1,1
BMU ID,marginal_bmu_id,T_DRAXX-1_BID,BIOMASS,BID,0.5605123261765863,-31.997015214635816,0.0,1.0,41,0.04814091540717898,0.12628903778075173,80.29192900544797,2,1
BMU ID,marginal_bmu_id,T_COSO-1_OFFER,CCGT,OFFER,0.504419860155725,24.702379510554625,1.0,0.0,40,0.041744225872219654,0.12628903778075173,80.29192900544797,3,2
BMU ID,marginal_bmu_id,T_DAMC-1_OFFER,CCGT,OFFER,0.42197041827489584,21.980211173090403,1.0,0.0,35,0.03312190135833619,0.12628903778075173,80.29192900544797,4,3
BMU ID,marginal_bmu_id,T_HUMR-1_OFFER,CCGT,OFFER,0.39855758954820575,20.218792143859417,1.0,0.0,42,0.02591125295112798,0.12628903778075173,80.29192900544797,5,4
BMU ID,marginal_bmu_id,T_SEAB-1_OFFER,CCGT,OFFER,0.3958529533203987,18.657558900221737,1.0,0.0,35,0.029195789627180523,0.12628903778075173,80.29192900544797,6,5
BMU ID,marginal_bmu_id,T_DINO-2_OFFER,PS,OFFER,0.3937474682066297,25.14290186224469,1.0,0.0,30,0.043837356454332614,0.12628903778075173,80.29192900544797,7,6
BMU ID,marginal_bmu_id,T_CRUA-1_OFFER,PS,OFFER,0.3658887768397422,20.941043181981303,1.0,0.0,35,0.030146953010893585,0.12628903778075173,80.29192900544797,8,7
BMU ID,marginal_bmu_id,T_DRAXX-2_BID,BIOMASS,BID,0.2990198145969839,-13.847294770472848,0.0,1.0,42,0.018448909805586892,0.12628903778075173,80.29192900544797,9,2
BMU ID,marginal_bmu_id,T_DRAXX-3_BID,BIOMASS,BID,0.2821582464529591,-13.467519090326356,0.0,1.0,39,0.01692299043740392,0.12628903778075173,80.29192900544797,10,3
BMU ID,marginal_bmu_id,T_PNYCW-1_BID,WIND,BID,0.2791226363205077,-34.40852140956377,0.0,1.0,19,0.02897054921928751,0.12628903778075173,80.29192900544797,11,4
BMU ID,marginal_bmu_id,T_CNQPS-2_OFFER,CCGT,OFFER,0.2674613840798019,30.74739295659877,1.0,0.0,18,0.030534775649021448,0.12628903778075173,80.29192900544797,12,8
BMU ID,marginal_bmu_id,T_DINO-3_OFFER,PS,OFFER,0.2664002877647485,16.8837009094326,1.0,0.0,37,0.01602481400275465,0.12628903778075173,80.29192900544797,13,9
BMU ID,marginal_bmu_id,T_CNQPS-1_OFFER,CCGT,OFFER,0.2606328861112286,44.08116125609228,1.0,0.0,11,0.04157766415239404,0.12628903778075173,80.29192900544797,14,10
BMU ID,marginal_bmu_id,T_HUMR-1_BID,CCGT,BID,0.2555751631187991,-10.179380302240823,0.0,1.0,50,0.01215938875886545,0.12628903778075173,80.29192900544797,15,5
BMU ID,marginal_bmu_id,T_HOWBO-1_BID,WIND,BID,0.23824845972808986,-34.68815007450349,0.0,1.0,12,0.03482947130704097,0.12628903778075173,80.29192900544797,16,6
BMU ID,marginal_bmu_id,T_TKNWW-1_BID,WIND,BID,0.19328296682840057,-30.94487776553864,0.0,1.0,15,0.019952200149342163,0.12628903778075173,80.29192900544797,17,7
BMU ID,marginal_bmu_id,T_SHBA-1_OFFER,CCGT,OFFER,0.18409972747211117,12.700841200182552,1.0,0.0,29,0.012484397784477854,0.12628903778075173,80.29192900544797,18,11
BMU ID,marginal_bmu_id,T_DINO-5_OFFER,PS,OFFER,0.18378558149363727,24.897877440399427,1.0,0.0,17,0.017264809783968275,0.12628903778075173,80.29192900544797,19,12
BMU ID,marginal_bmu_id,T_DRAXX-4_BID,BIOMASS,BID,0.164929159067734,-9.740744815621365,0.0,1.0,36,0.008677020659472668,0.12628903778075173,80.29192900544797,20,8
BMU ID,marginal_bmu_id,T_CNQPS-3_OFFER,CCGT,OFFER,0.1608525391943218,21.382607743283263,1.0,0.0,15,0.01664869980221373,0.12628903778075173,80.29192900544797,21,13
BMU ID,marginal_bmu_id,T_FOYE-1_OFFER,PS,OFFER,0.16058985983212734,16.456896052463456,1.0,0.0,24,0.010677425380592664,0.12628903778075173,80.29192900544797,22,14
BMU ID,marginal_bmu_id,T_ROCK-1_OFFER,CCGT,OFFER,0.1583498667082517,11.862914525442061,1.0,0.0,29,0.009525604595030508,0.12628903778075173,80.29192900544797,23,15
BMU ID,marginal_bmu_id,T_TKNEW-1_BID,WIND,BID,0.15531969934832746,-28.683056604849597,0.0,1.0,11,0.01949793140351518,0.12628903778075173,80.29192900544797,24,9
BMU ID,marginal_bmu_id,T_DINO-4_OFFER,PS,OFFER,0.1550081957590565,13.997540531451,1.0,0.0,20,0.01138005234449756,0.12628903778075173,80.29192900544797,25,16
BMU ID,marginal_bmu_id,T_DINO-6_OFFER,PS,OFFER,0.15062587467586033,16.218709735781392,1.0,0.0,21,0.01073402864510095,0.12628903778075173,80.29192900544797,26,17
BMU ID,marginal_bmu_id,T_HOWBO-2_BID,WIND,BID,0.1405539758192561,-26.230282224937465,0.0,1.0,12,0.015163144507315745,0.12628903778075173,80.29192900544797,27,10
BMU ID,marginal_bmu_id,T_CLDCW-1_BID,WIND,BID,0.13245644089098182,-31.151918863599946,0.0,1.0,8,0.01794440286757299,0.12628903778075173,80.29192900544797,28,11
BMU ID,marginal_bmu_id,T_SEAB-2_OFFER,CCGT,OFFER,0.13167345027447486,16.953527300989236,1.0,0.0,14,0.011826952328232734,0.12628903778075173,80.29192900544797,29,18
BMU ID,marginal_bmu_id,T_RCBKO-1_BID,WIND,BID,0.12384976719389416,-28.16435538258306,0.0,1.0,8,0.01774660057741364,0.12628903778075173,80.29192900544797,30,12
BMU ID,marginal_bmu_id,T_SHBA-2_OFFER,CCGT,OFFER,0.10414771300067294,11.9796062833614,1.0,0.0,15,0.008191234486583557,0.12628903778075173,80.29192900544797,31,19
BMU ID,marginal_bmu_id,T_GRAI-8_OFFER,CCGT,OFFER,0.10302781370657536,11.298351508389203,1.0,0.0,18,0.0076000889380421965,0.12628903778075173,80.29192900544797,32,20
BMU ID,marginal_bmu_id,T_SPLN-1_OFFER,CCGT,OFFER,0.09655300328734523,9.614790319632695,1.0,0.0,21,0.006171821550614719,0.12628903778075173,80.29192900544797,33,21
