bid_shap_rank,feature,fuel_type,mean_abs_shap,bid_rows,median_raw_bid_price,weighted_mean_raw_bid_price,share_so_pays_weighted,share_so_receives_weighted,raw_bid_price_direction,raw_bid_price_read
1,T_DRAXX-1_BID,BIOMASS,0.5605123261765863,481,-45.0,-39.86305988361179,0.8278580814717477,0.1071897878730993,mostly negative bid (SO pays),SO usually pays
2,T_DRAXX-2_BID,BIOMASS,0.2990198145969839,729,0.0,6.771110389746714,0.1995383924878483,0.4234633334499244,mixed,SO usually receives
3,T_DRAXX-3_BID,BIOMASS,0.2821582464529591,731,0.0,3.750373539030498,0.2851241986447752,0.4061307412293472,mixed,SO usually receives
4,T_PNYCW-1_BID,WIND,0.2791226363205077,222,-95.0,-88.05895691609977,1.0,0.0,mostly negative bid (SO pays),SO usually pays
5,T_HUMR-1_BID,CCGT,0.2555751631187991,823,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,leans positive bid (SO receives),SO usually receives
6,T_HOWBO-1_BID,WIND,0.2382484597280898,254,-65.0,-73.22821240799159,1.0,0.0,mostly negative bid (SO pays),SO usually pays
7,T_TKNWW-1_BID,WIND,0.1932829668284005,166,-115.375,-119.51597014925376,1.0,0.0,mostly negative bid (SO pays),SO usually pays
8,T_DRAXX-4_BID,BIOMASS,0.164929159067734,524,0.0,7.89587235755832,0.224445213202132,0.3989550541691857,mixed,SO usually receives
9,T_TKNEW-1_BID,WIND,0.1553196993483274,177,-118.87,-123.31600896860986,0.9910313901345292,0.0089686098654708,mostly negative bid (SO pays),SO usually pays
10,T_HOWBO-2_BID,WIND,0.1405539758192561,154,-65.0,-73.99504708097928,1.0,0.0,mostly negative bid (SO pays),SO usually pays
11,T_CLDCW-1_BID,WIND,0.1324564408909818,149,-97.1,-92.70510067114095,1.0,0.0,mostly negative bid (SO pays),SO usually pays
12,T_RCBKO-1_BID,WIND,0.1238497671938941,160,-151.23,-154.69903765690376,1.0,0.0,mostly negative bid (SO pays),SO usually pays
13,T_HOWBO-3_BID,WIND,0.0802697654740214,127,-67.03,-67.60039823008853,1.0,0.0,mostly negative bid (SO pays),SO usually pays
14,T_CLDSW-1_BID,WIND,0.0751980987110735,83,-95.98,-90.40253012048194,1.0,0.0,mostly negative bid (SO pays),SO usually pays
15,T_MOWEO-2_BID,WIND,0.0664093276047732,79,-80.11,-82.27361445783131,1.0,0.0,mostly negative bid (SO pays),SO usually pays
