feature,fuel_type,side,years_in_top20,top20_years,best_annual_rank,mean_abs_shap_mean,direction_pattern_2023_2025,min_active_rows
T_RYHPS-1_OFFER,CCGT,OFFER,3,"2023, 2024, 2025",1,0.8792388378910169,+++,18
T_COSO-1_OFFER,CCGT,OFFER,3,"2023, 2024, 2025",2,0.5682254513351669,+++,27
T_SEAB-1_OFFER,CCGT,OFFER,3,"2023, 2024, 2025",2,0.5031244903022751,+++,21
T_DAMC-1_OFFER,CCGT,OFFER,3,"2023, 2024, 2025",5,0.48223363899291977,+++,39
T_CRUA-1_OFFER,PS,OFFER,3,"2023, 2024, 2025",7,0.3693212857040922,+++,23
T_SHBA-1_OFFER,CCGT,OFFER,3,"2023, 2024, 2025",13,0.2378621960043661,+++,25
T_DINO-2_OFFER,PS,OFFER,2,"2023, 2025",1,0.4810841084562087,+++,14
T_DINO-1_OFFER,PS,OFFER,2,"2024, 2025",4,0.43624978727134156,NA++,36
T_DRAXX-1_BID,BIOMASS,BID,2,"2024, 2025",1,0.40092659320200136,---,8
T_DRAXX-3_BID,BIOMASS,BID,2,"2023, 2024",3,0.3847581670035793,---,30
T_DRAXX-2_BID,BIOMASS,BID,2,"2023, 2024",6,0.33271502626329613,---,16
T_HUMR-1_OFFER,CCGT,OFFER,2,"2023, 2024",6,0.31345595191779757,+++,19
T_HOWBO-1_BID,WIND,BID,2,"2024, 2025",6,0.2786443109008412,---,2
T_PNYCW-1_BID,WIND,BID,2,"2023, 2024",9,0.27507987488905267,---,7
T_HUMR-1_BID,CCGT,BID,2,"2023, 2024",8,0.2686321911433808,---,17
T_DINO-3_OFFER,PS,OFFER,2,"2023, 2024",12,0.20885559937080903,+++,3
T_HOWBO-2_BID,WIND,BID,2,"2024, 2025",7,0.1893300076678849,---,3
T_HOWBO-3_BID,WIND,BID,1,2025,4,0.5475190561840011,NANA-,27
T_CNQPS-2_OFFER,CCGT,OFFER,1,2025,2,0.2707662349716814,+++,9
T_TKNEW-1_BID,WIND,BID,1,2023,10,0.2517136673026246,---,6
T_CNQPS-1_OFFER,CCGT,OFFER,1,2025,3,0.22185259980351676,+++,9
T_DRAXX-4_BID,BIOMASS,BID,1,2024,10,0.17597350172784096,---,17
T_TKNWW-1_BID,WIND,BID,1,2023,17,0.1689747066538618,---,5
T_DINO-5_OFFER,PS,OFFER,1,2023,11,0.16846808912037572,+0+,7
T_RCBKO-1_BID,WIND,BID,1,2023,16,0.1675112720415334,---,2
T_ROCK-1_OFFER,CCGT,OFFER,1,2025,9,0.1666237501531099,+++,10
T_DINO-4_OFFER,PS,OFFER,1,2024,18,0.15792678633516627,+++,11
T_CNQPS-3_OFFER,CCGT,OFFER,1,2025,7,0.15404776680898463,+++,10
T_CLDCW-1_BID,WIND,BID,1,2024,20,0.1523987802312246,---,5
T_DINO-6_OFFER,PS,OFFER,1,2023,14,0.13379483863197425,+0+,6
T_CNQPS-4_OFFER,CCGT,OFFER,1,2025,12,0.12163766414359008,+++,13
T_FOYE-1_OFFER,PS,OFFER,1,2023,19,0.1183588075950966,+++,8
T_RCBKO-2_BID,WIND,BID,1,2023,18,0.11710936051999014,--0,1
T_MRWD-1_OFFER,CCGT,OFFER,1,2024,16,0.096408889102116,+++,21
T_MOWEO-3_BID,WIND,BID,1,2025,15,0.07792226182142982,---,4
T_KLGLW-1_BID,WIND,BID,1,2025,18,0.05212874404532866,---,3
E_PILLB-1_BID,BATTERY,BID,1,2025,20,0.04268821938197273,0--,7
