feature,fuel_type,side,regimes_in_top20,top20_regimes,best_regime_rank,mean_abs_shap_mean,direction_pattern_low_normal_high_extreme,min_active_rows
T_CARR-1_OFFER,CCGT,OFFER,3,"Normal p10–p75, High p90–p95, Extreme > p95",13,0.0893498586310753,NA | + | - | -,9
T_RYHPS-1_OFFER,CCGT,OFFER,2,"High p90–p95, Extreme > p95",1,2.520047473453776,NA | + | + | +,9
T_CNQPS-1_OFFER,CCGT,OFFER,2,"High p90–p95, Extreme > p95",2,1.366597456677945,NA | + | + | +,12
T_COSO-1_OFFER,CCGT,OFFER,2,"Normal p10–p75, Extreme > p95",4,0.3765423952581184,0 | + | - | +,1
T_DINO-2_OFFER,PS,OFFER,2,"High p90–p95, Extreme > p95",1,0.33174470263554223,NA | + | + | -,13
T_SEAB-2_OFFER,CCGT,OFFER,2,"High p90–p95, Extreme > p95",7,0.1718940514180454,NA | + | + | -,12
T_DRAXX-2_BID,BIOMASS,BID,2,"Low <= p10, Normal p10–p75",3,0.14016610205485583,+ | - | 0 | NA,1
T_DRAXX-3_BID,BIOMASS,BID,2,"Low <= p10, Normal p10–p75",6,0.1385180295069522,+ | - | NA | NA,56
T_HUMR-1_OFFER,CCGT,OFFER,2,"Normal p10–p75, Extreme > p95",8,0.10603965234275858,0 | + | - | -,1
T_ROCK-1_OFFER,CCGT,OFFER,2,"Normal p10–p75, Extreme > p95",11,0.10508267792675924,NA | + | + | +,13
T_FFES-1_OFFER,PS,OFFER,2,"Normal p10–p75, Extreme > p95",12,0.09584105963514489,NA | + | + | -,17
T_DAMC-1_OFFER,CCGT,OFFER,2,"Normal p10–p75, High p90–p95",3,0.0923119614139542,NA | + | - | -,21
T_CARR-2_OFFER,CCGT,OFFER,2,"High p90–p95, Extreme > p95",2,0.08385531878101389,NA | + | + | -,16
T_CRUA-1_OFFER,PS,OFFER,2,"Normal p10–p75, High p90–p95",8,0.07208899511971352,NA | + | + | -,17
T_DINO-3_OFFER,PS,OFFER,2,"Normal p10–p75, Extreme > p95",16,0.07103960622069906,NA | + | - | -,20
T_WBURB-3_OFFER,CCGT,OFFER,2,"Normal p10–p75, High p90–p95",9,0.043876672770417874,NA | + | - | -,0
T_SHBA-2_OFFER,CCGT,OFFER,2,"Normal p10–p75, High p90–p95",7,0.032868607898471174,0 | + | + | -,2
T_CNQPS-2_OFFER,CCGT,OFFER,1,Extreme > p95,3,0.8433546024488147,NA | + | - | +,13
T_CNQPS-3_OFFER,CCGT,OFFER,1,Extreme > p95,5,0.30583555398026213,NA | + | - | +,9
T_RCBKO-1_BID,WIND,BID,1,Low <= p10,1,0.17264678525844385,- | - | NA | NA,9
T_TKNEW-1_BID,WIND,BID,1,Low <= p10,2,0.1493978816059044,- | - | NA | NA,8
T_HOWBO-1_BID,WIND,BID,1,Low <= p10,6,0.13563175415276685,- | - | NA | NA,10
T_TKNWW-1_BID,WIND,BID,1,Low <= p10,4,0.12921282476130125,- | - | NA | NA,7
T_RCBKO-2_BID,WIND,BID,1,Low <= p10,5,0.11197845911307625,- | - | NA | NA,6
T_HUMR-1_BID,CCGT,BID,1,Normal p10–p75,2,0.11105307326226944,+ | - | NA | NA,48
T_SEAB-1_OFFER,CCGT,OFFER,1,Normal p10–p75,1,0.0913178422432161,NA | + | + | -,47
I_IBG-INCM1_OFFER,BritNed,OFFER,1,Extreme > p95,9,0.0805391090155722,NA | 0 | + | +,2
I_IVG-INCM1_OFFER,Viking,OFFER,1,Extreme > p95,10,0.08041418153774434,NA | NA | 0 | +,0
T_DRAXX-4_BID,BIOMASS,BID,1,Normal p10–p75,13,0.072080266755833,+ | - | NA | NA,38
T_DINO-1_OFFER,PS,OFFER,1,Normal p10–p75,3,0.0656718042492765,NA | + | - | 0,2
T_BEATO-4_BID,WIND,BID,1,Low <= p10,7,0.0653993382490608,- | NA | NA | NA,0
T_WBURB-1_OFFER,CCGT,OFFER,1,Extreme > p95,18,0.0629402659884284,NA | + | + | -,13
T_SHBA-1_OFFER,CCGT,OFFER,1,Normal p10–p75,5,0.061247136454166934,NA | + | + | -,33
T_FOYE-1_OFFER,PS,OFFER,1,Extreme > p95,15,0.0548459844743183,NA | + | - | -,8
T_EAAO-2_BID,WIND,BID,1,Low <= p10,8,0.05156885467700475,- | 0 | NA | NA,3
T_MEDP-1_OFFER,CCGT,OFFER,1,Extreme > p95,20,0.05110026332162737,NA | + | - | -,11
T_DRAXX-1_BID,BIOMASS,BID,1,Normal p10–p75,12,0.04953425342525555,- | - | NA | NA,24
T_MRWD-1_OFFER,CCGT,OFFER,1,Normal p10–p75,7,0.049090688202297526,0 | + | + | -,1
T_KEAD-2_BID,CCGT,BID,1,Normal p10–p75,15,0.0462858152649508,+ | - | NA | NA,10
E_BURWB-1_OFFER,OTHER,OFFER,1,Extreme > p95,16,0.04567963787864123,NA | + | + | +,3
T_STAY-4_OFFER,CCGT,OFFER,1,Extreme > p95,17,0.04443855848240986,NA | 0 | + | -,2
T_BRBEO-1_BID,WIND,BID,1,Low <= p10,10,0.03981974013061705,- | NA | NA | NA,0
T_DIDCB6_OFFER,CCGT,OFFER,1,High p90–p95,20,0.0387663569194791,NA | + | + | -,2
T_DINO-6_OFFER,PS,OFFER,1,High p90–p95,17,0.0355399372723156,NA | + | + | -,9
T_HOWBO-3_BID,WIND,BID,1,Low <= p10,12,0.035361817409691854,- | - | NA | NA,5
T_BEATO-2_BID,WIND,BID,1,Low <= p10,13,0.0321507978262981,- | NA | NA | NA,0
T_BEATO-1_BID,WIND,BID,1,Low <= p10,14,0.0316394202630816,- | NA | NA | NA,0
T_CLDCW-1_BID,WIND,BID,1,Low <= p10,18,0.03129753975573595,- | - | NA | NA,7
T_BEATO-3_BID,WIND,BID,1,Low <= p10,15,0.03113501168366115,- | NA | NA | NA,0
T_GRAI-7_BID,CCGT,BID,1,Low <= p10,16,0.027487523737087797,+ | - | 0 | NA,1
T_DINO-3_BID,PS,BID,1,Low <= p10,20,0.02707125525315695,+ | - | NA | NA,19
T_WBURB-2_OFFER,CCGT,OFFER,1,High p90–p95,6,0.02535237147384713,NA | + | + | -,13
T_DINO-5_OFFER,PS,OFFER,1,High p90–p95,15,0.0235564931018754,NA | + | + | +,12
T_GRAI-8_BID,CCGT,BID,1,Low <= p10,11,0.022620838935132934,+ | - | 0 | NA,1
T_EAAO-1_BID,WIND,BID,1,Low <= p10,19,0.018422408231974403,- | - | 0 | NA,1
