overall_shap_rank,feature,fuel_type,side,mean_abs_shap,conditional_mean_shap_when_active,direction,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample
1,T_RYHPS-1_OFFER,CCGT,OFFER,0.6806396900368641,55.75579495035423,raises predicted price,1.0,0.0,25
2,T_DRAXX-1_BID,BIOMASS,BID,0.5605123261765863,-31.997015214635816,suppresses predicted price,0.0,1.0,41
3,T_COSO-1_OFFER,CCGT,OFFER,0.504419860155725,24.702379510554625,raises predicted price,1.0,0.0,40
4,T_DAMC-1_OFFER,CCGT,OFFER,0.4219704182748958,21.980211173090403,raises predicted price,1.0,0.0,35
5,T_HUMR-1_OFFER,CCGT,OFFER,0.3985575895482057,20.218792143859417,raises predicted price,1.0,0.0,42
6,T_SEAB-1_OFFER,CCGT,OFFER,0.3958529533203987,18.657558900221737,raises predicted price,1.0,0.0,35
7,T_DINO-2_OFFER,PS,OFFER,0.3937474682066297,25.14290186224469,raises predicted price,1.0,0.0,30
8,T_CRUA-1_OFFER,PS,OFFER,0.3658887768397422,20.941043181981303,raises predicted price,1.0,0.0,35
9,T_DRAXX-2_BID,BIOMASS,BID,0.2990198145969839,-13.847294770472848,suppresses predicted price,0.0,1.0,42
10,T_DRAXX-3_BID,BIOMASS,BID,0.2821582464529591,-13.467519090326356,suppresses predicted price,0.0,1.0,39
11,T_PNYCW-1_BID,WIND,BID,0.2791226363205077,-34.40852140956377,suppresses predicted price,0.0,1.0,19
12,T_CNQPS-2_OFFER,CCGT,OFFER,0.2674613840798019,30.74739295659877,raises predicted price,1.0,0.0,18
13,T_DINO-3_OFFER,PS,OFFER,0.2664002877647485,16.8837009094326,raises predicted price,1.0,0.0,37
14,T_CNQPS-1_OFFER,CCGT,OFFER,0.2606328861112286,44.08116125609228,raises predicted price,1.0,0.0,11
15,T_HUMR-1_BID,CCGT,BID,0.2555751631187991,-10.179380302240824,suppresses predicted price,0.0,1.0,50
16,T_HOWBO-1_BID,WIND,BID,0.2382484597280898,-34.68815007450349,suppresses predicted price,0.0,1.0,12
17,T_TKNWW-1_BID,WIND,BID,0.1932829668284005,-30.94487776553864,suppresses predicted price,0.0,1.0,15
18,T_SHBA-1_OFFER,CCGT,OFFER,0.1840997274721111,12.700841200182552,raises predicted price,1.0,0.0,29
19,T_DINO-5_OFFER,PS,OFFER,0.1837855814936372,24.897877440399427,raises predicted price,1.0,0.0,17
20,T_DRAXX-4_BID,BIOMASS,BID,0.164929159067734,-9.740744815621364,suppresses predicted price,0.0,1.0,36
21,T_CNQPS-3_OFFER,CCGT,OFFER,0.1608525391943218,21.382607743283263,raises predicted price,1.0,0.0,15
22,T_FOYE-1_OFFER,PS,OFFER,0.1605898598321273,16.456896052463456,raises predicted price,1.0,0.0,24
23,T_ROCK-1_OFFER,CCGT,OFFER,0.1583498667082517,11.86291452544206,raises predicted price,1.0,0.0,29
24,T_TKNEW-1_BID,WIND,BID,0.1553196993483274,-28.6830566048496,suppresses predicted price,0.0,1.0,11
25,T_DINO-4_OFFER,PS,OFFER,0.1550081957590565,13.997540531451,raises predicted price,1.0,0.0,20
26,T_DINO-6_OFFER,PS,OFFER,0.1506258746758603,16.218709735781392,raises predicted price,1.0,0.0,21
27,T_HOWBO-2_BID,WIND,BID,0.1405539758192561,-26.230282224937465,suppresses predicted price,0.0,1.0,12
28,T_CLDCW-1_BID,WIND,BID,0.1324564408909818,-31.151918863599946,suppresses predicted price,0.0,1.0,8
29,T_SEAB-2_OFFER,CCGT,OFFER,0.1316734502744748,16.953527300989236,raises predicted price,1.0,0.0,14
30,T_RCBKO-1_BID,WIND,BID,0.1238497671938941,-28.16435538258306,suppresses predicted price,0.0,1.0,8
