predictor,feature,side,regimes_in_top20,top20_regimes,best_regime_rank,mean_abs_shap_mean,direction_pattern_low_normal_high_extreme,min_active_rows
Generation type,CCGT_OFFER,OFFER,4,"Low <= p10, Normal p10-p75, High p90-p95, Extreme > p95",1,3.1699307288686898,+ | + | + | +,17
Generation type,CCGT_BID,BID,4,"Low <= p10, Normal p10-p75, High p90-p95, Extreme > p95",2,0.9588107384760622,+ | - | - | -,5
Generation type,BATTERY_OFFER,OFFER,4,"Low <= p10, Normal p10-p75, High p90-p95, Extreme > p95",3,0.9385457446757475,+ | + | - | -,15
Generation type,BATTERY_BID,BID,4,"Low <= p10, Normal p10-p75, High p90-p95, Extreme > p95",3,0.573381936480687,+ | - | 0 | 0,1
Generation type,OTHER_OFFER,OFFER,4,"Low <= p10, Normal p10-p75, High p90-p95, Extreme > p95",2,0.3619240463791383,+ | + | - | +,7
Generation type,PS_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",1,1.387392303776264,NA | + | + | -,381
Family ID,T_DINO_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",2,0.7568128285690362,NA | + | + | -,92
Generation type,LOAD RESPONSE_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",4,0.5192744524952216,+ | + | + | -,5
Family ID,T_COSO_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",4,0.38027589713768595,0 | + | - | +,1
Family ID,T_SEAB_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",4,0.2948990383753453,NA | + | + | -,59
Generation type,DIESEL_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",6,0.27811985979884146,NA | + | - | -,55
Generation type,OTHER_BID,BID,3,"Low <= p10, Normal p10-p75, High p90-p95",6,0.20524109863998563,+ | - | + | 0,1
Generation type,NPSHYD_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",3,0.1898690377413301,0 | + | - | +,1
Family ID,T_PEMB_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",5,0.18796596645147332,NA | + | - | -,36
Generation type,LOAD RESPONSE_BID,BID,3,"Low <= p10, Normal p10-p75, High p90-p95",5,0.17966327637202043,+ | - | + | NA,6
BMU ID,T_CARR-1_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",13,0.08995367203143485,NA | + | - | -,6
Generation type,OCGT_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",10,0.07608660926254787,NA | + | - | +,43
Generation type,COAL_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",11,0.0649721840274305,NA | + | + | -,26
Generation type,NPSHYD_BID,BID,3,"Low <= p10, Normal p10-p75, Extreme > p95",11,0.060413289529557705,+ | - | NA | -,5
Generation type,BIOMASS_OFFER,OFFER,3,"Normal p10-p75, High p90-p95, Extreme > p95",11,0.059986271887548195,0 | + | + | -,3
Family ID,T_RYHPS_OFFER,OFFER,2,"High p90-p95, Extreme > p95",1,2.7368869375585327,NA | + | + | +,9
BMU ID,T_RYHPS-1_OFFER,OFFER,2,"High p90-p95, Extreme > p95",1,2.5306984725093877,NA | + | + | +,7
Family ID,T_CNQPS_OFFER,OFFER,2,"Normal p10-p75, Extreme > p95",2,2.4084302626295817,NA | + | + | +,40
Generation type,WIND_BID,BID,2,"Low <= p10, Normal p10-p75",1,2.1760284350459638,- | - | 0 | NA,1
BMU ID,T_CNQPS-1_OFFER,OFFER,2,"High p90-p95, Extreme > p95",2,1.3073305002196738,NA | + | + | +,6
Generation type,BIOMASS_BID,BID,2,"Low <= p10, Normal p10-p75",4,0.4412254434098994,+ | - | 0 | NA,1
Family ID,T_DRAXX_BID,BID,2,"Low <= p10, Normal p10-p75",1,0.40400666284189596,+ | - | 0 | NA,1
BMU ID,T_COSO-1_OFFER,OFFER,2,"Normal p10-p75, Extreme > p95",4,0.37706309308498864,0 | + | - | +,1
Generation type,PS_BID,BID,2,"Low <= p10, Normal p10-p75",9,0.3619553354713998,+ | - | NA | NA,331
Family ID,T_PEMB_BID,BID,2,"Low <= p10, Normal p10-p75",3,0.3325491454620859,+ | - | NA | NA,53
