predictor,overall_shap_rank,feature,side,mean_abs_shap,conditional_mean_shap_when_active,direction,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample
Generation type,1,CCGT_OFFER,OFFER,11.200216734103057,27.898156084050484,raises predicted price,1.0,0.0,1749
Generation type,2,WIND_BID,BID,8.85515963853384,-56.83913939799525,suppresses predicted price,0.0,1.0,721
Generation type,3,CCGT_BID,BID,5.514980324927757,-9.684816019285387,suppresses predicted price,0.0,1.0,2537
Generation type,4,PS_OFFER,OFFER,4.86547670497955,32.29230920901592,raises predicted price,1.0,0.0,657
Generation type,5,BATTERY_BID,BID,3.898939788550908,-19.373151088266585,suppresses predicted price,0.0,1.0,869
Generation type,6,BATTERY_OFFER,OFFER,3.361949434495616,18.817913458965503,raises predicted price,1.0,0.0,752
Generation type,7,BIOMASS_BID,BID,2.326449105416054,-27.59466691841425,suppresses predicted price,0.0,1.0,353
Generation type,8,LOAD RESPONSE_OFFER,OFFER,1.6488769895243396,22.18526703482229,raises predicted price,1.0,0.0,307
Generation type,9,OTHER_BID,BID,1.5884977567607483,-15.417855493511867,suppresses predicted price,0.0,1.0,416
Generation type,10,OTHER_OFFER,OFFER,1.2947685832690377,17.427864982845012,raises predicted price,1.0,0.0,305
Generation type,11,PS_BID,BID,1.1992727106321746,-15.620819093547144,suppresses predicted price,0.0,1.0,304
Generation type,12,NPSHYD_OFFER,OFFER,0.9346758470020184,23.782425600024045,raises predicted price,1.0,0.0,152
Family ID,1,T_DINO_OFFER,OFFER,1.9680263242118103,28.805217421647917,raises predicted price,1.0,0.0,156
Family ID,2,T_DRAXX_BID,BID,1.6233916437688884,-21.97060414632443,suppresses predicted price,0.0,1.0,176
Family ID,3,T_CNQPS_OFFER,OFFER,1.1073009347238123,36.5811760321988,raises predicted price,1.0,0.0,74
Family ID,4,T_SEAB_OFFER,OFFER,0.792835058293512,24.030760096754427,raises predicted price,1.0,0.0,79
Family ID,5,T_CRUA_OFFER,OFFER,0.7748078593806602,25.677354467855334,raises predicted price,1.0,0.0,77
Family ID,6,T_HOWBO_BID,BID,0.6838272274105384,-41.93622903485432,suppresses predicted price,0.0,1.0,40
Family ID,7,T_RYHPS_OFFER,OFFER,0.6774755485256537,63.36529308955209,raises predicted price,1.0,0.0,23
Family ID,8,T_COSO_OFFER,OFFER,0.5684837553509321,25.483104203279005,raises predicted price,1.0,0.0,58
Family ID,9,T_SHBA_OFFER,OFFER,0.4846164588171496,18.85464307962881,raises predicted price,1.0,0.0,66
Family ID,10,T_DAMC_OFFER,OFFER,0.4641506083518487,22.5168842710112,raises predicted price,1.0,0.0,49
Family ID,11,T_SGRWO_BID,BID,0.4055965405083361,-23.129514376971127,suppresses predicted price,0.0,1.0,45
Family ID,12,T_HUMR_CC_OFFER,OFFER,0.3973974413378277,17.126525276043825,raises predicted price,1.0,0.0,69
BMU ID,1,T_RYHPS-1_OFFER,OFFER,0.6665770255073582,55.75579495035424,raises predicted price,1.0,0.0,15
BMU ID,2,T_DRAXX-1_BID,BID,0.514134637260444,-31.997015214635805,suppresses predicted price,0.0,1.0,22
BMU ID,3,T_COSO-1_OFFER,OFFER,0.4749458360260151,24.702379510554625,raises predicted price,1.0,0.0,22
BMU ID,4,T_DAMC-1_OFFER,OFFER,0.4491817910987888,21.980211173090403,raises predicted price,1.0,0.0,25
BMU ID,5,T_SEAB-1_OFFER,OFFER,0.433757828780924,18.657558900221737,raises predicted price,1.0,0.0,27
BMU ID,6,T_DINO-2_OFFER,OFFER,0.3961987210420223,25.14290186224469,raises predicted price,1.0,0.0,19
BMU ID,7,T_HUMR-1_OFFER,OFFER,0.3724569426337178,20.218792143859424,raises predicted price,1.0,0.0,23
BMU ID,8,T_CRUA-1_OFFER,OFFER,0.3585332027463859,20.941043181981303,raises predicted price,1.0,0.0,21
BMU ID,9,T_DRAXX-2_BID,BID,0.2974449507514672,-13.847294770472844,suppresses predicted price,0.0,1.0,26
BMU ID,10,T_HOWBO-1_BID,BID,0.2865313036509577,-34.68815007450349,suppresses predicted price,0.0,1.0,11
BMU ID,11,T_CNQPS-2_OFFER,OFFER,0.276640809270881,30.747392956598773,raises predicted price,1.0,0.0,12
BMU ID,12,T_DRAXX-3_BID,BID,0.2746212120816148,-13.467519090326356,suppresses predicted price,0.0,1.0,23
